所在区,分類,施 設 名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
,,,,,,,満3歳 ～,3歳 ～,開始時間 （朝）,終了時間 （夕）,,,受入開始年齢,,
,,,,,,,,,,,,,１歳～,２歳～,
,,,,,,,,,,,,,,,
須磨区（本区）,幼稚園（私学助成制度）,須磨浦幼稚園,(学),100,千守町２－１－８,731-2104,○,,７：３０,１８：００,-,週４日,-,満２歳,○
須磨区（本区）,幼稚園（私学助成制度）,兵庫大学附属須磨幼稚園,(学),300,行幸町２－６－１９,731-2666,,○,７：００,１９：００,○,週３日,-,○,○
須磨区（本区）,幼稚園（新制度）,千鳥幼稚園,（宗）,160,千守町１－３－２１,733-2825,,○,-,１６：００,-,-,-,満２歳,-
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 西須磨幼稚園,(学),290,桜木町２－２－１,731-2922,○,,７：００,１９：００,○,週６日,-,○,○
須磨区（本区）,幼稚園型認定こども園,認定こども園 禅昌寺幼稚園,(学),300,禅昌寺町２－５－１,732-0944,,○,-,１７：００,○,週４日,-,○,○
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 大手幼稚園,(学),175,大手町７－１－１,731-0128,,○,７：００,１９：００,-,週６日,-,○,○
須磨区（本区）,幼稚園（私学助成制度）,育英幼稚園,（財）,200,板宿町２－２－１,731-0381,○,,-,１８：００,-,週３日,満１歳,-,○
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 神戸ＹＭＣＡちとせ幼稚園,(学),280,高倉台４－１２,732-3542,,○,７：００,１９：００,○,週６日,-,○,○
須磨区（本区）,幼稚園（私学助成制度）,須磨みどり幼稚園,(学),95,中島町２－５－１５,731-0990,,○,８：００,１７：００,-,-,-,○,○
須磨区（本区）,幼稚園（私学助成制度）,平田幼稚園,(学),400,平田町３－２－４,732-1504,,○,-,１８：００,○,週５日,-,○,○
須磨区（北須磨）,幼稚園（私学助成制度）,妙法寺幼稚園,(学),320,妙法寺字前田７７,741-2852,,○,７：００,１９：００,○,週３日,-,満３歳,○
須磨区（北須磨）,幼稚園（私学助成制度）,北須磨幼稚園,(学),180,友が丘３－１０７,792-0612,,○,７：００,１９：００,○,週４日,-,-,○
須磨区（北須磨）,幼稚園（私学助成制度）,白川台幼稚園,(学),360,白川台５－５３－１,792-6367,,○,-,１８：００,○,週３日,-,○,○
須磨区（本区）,幼稚園（私学助成制度）,神戸女子大学附属高倉台幼稚園,(学),200,高倉台４－２,734-1767,,○,７：３０,１７：３０,○,週４日,-,○,○
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 若木こども園,(福),90,若木町１－２―２９,734-6281,,○,８：００,１８：００,-,週６日,-,-,○
須磨区(北須磨),幼保連携型認定こども園,幼保連携型認定こども園 のぞみ保育園,(福),185,西落合７－１－１,791-8446,,○,７：００,１９：００,-,週５日,-,-,○
須磨区（北須磨）,幼保連携型認定こども園,幼保連携型認定こども園 若竹こども園,(福),126,南落合３－９－１,793-1112,,○,８：００,１８：００,-,週６日,-,-,○
須磨区（北須磨）,幼保連携型認定こども園,幼保連携型認定こども園 名谷みどりこども園,(福),135,中落合２－３－２,797-7077,,○,７：００,２０：００,-,週６日,-,-,○
須磨区（本区）,幼保連携型認定こども園,（仮称）幼保連携型認定こども園 村雨こども園,（福）,135,行幸町１－２－２６,733-4363,,○,７：００,１９：００,-,週６日,-,-,○
垂水区,幼稚園型認定こども園,認定こども園 霞ヶ丘幼稚園,(学),630,五色山８－２－２９,706-0055,○,,７：００,１９：００,○,週５日,-,満２歳,○
垂水区,幼稚園型認定こども園,認定こども園 聖マリアの園幼稚園,(学),240,舞子台８－２０－２,781-7181,○,,８：００,１８：００,○,週４日,-,-,○
