分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始,終了,保育短時間（８時間） 開始,終了,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,聖ミカエル幼保連携型認定こども園,（福）,100,中山手通６－５－１,341-8167,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　はたつかこども園,（福）,90＊,旗塚通４－４－２０,221-5100,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,18:30,,○
幼保連携型認定こども園,大慈ほまれ幼保連携型認定こども園,（福）,60,古湊通１－１－１６,351-0667,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　塩原学園幼稚園,（学）,40＊,上筒井通４－３－３０,241-8010,３歳児クラス,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,,○
幼稚園型認定こども園,認定こども園　神戸華僑幼稚園,（学）,30＊,中山手通６－４－２０,341-8315,３歳児クラス,５歳児クラス,7:00,18:00,9:00,17:00,7:00,18:00,,○
保育所,葺合保育所,（公立）,54,八雲通１－１－６,221-3910,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,生田保育所,（公立）,120,楠町８－１０－２,341-0425,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,たちばな保育所,（公立）,65,橘通３－４－１,341-0911,生後６か月,３歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,○
保育所,みなと保育所,（公立）,54,波止場町６－２,371-4131,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,宮本保育所,（公立）,90,宮本通１－５－２１,221-5242,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,二宮保育所,（公立）,90,若菜通５－２－２４,221-6111,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,神若保育所,（公立）,85,神若通２－３－７,222-3424,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,古湊保育所,（公立）,90,古湊通２－３－２３,361-0761,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,友愛幼児園,（福）,120,吾妻通５－２－２０,231-5818,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,めぐみ愛児園,（宗）,90,八雲通２－３－２３,221-7473,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,18:30,○,○
保育所,協和保育園,（宗）,30,北本町通５－１－５,221-1366,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,
保育所,大慈保育園,（福）,130,東川崎町６－２－６,671-0684,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,20:00,○,○
保育所,大慈保育園とも分園,（福）,30,東川崎町１－５－８ クレヴィアタワー神戸ハーバーランド,341-1080,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,ポートピア保育園,（福）,210,港島中町３－２－８,302-1234,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,真生きらきら保育園,（福）,60,中山手通７－２５－２４,341-5858,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,
保育所,神女中山手保育園,（福）,90,中山手通２－２３－２,261-0361,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,成晃ひかり保育園,（福）,70,港島中町４－６,303-3315,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,北野坂保育園,（福）,80,北野町３－１－７,222-1150,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
保育所,神戸元町ちどり保育園,（福）,60,北長挟通８－５－５,341-5580,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,
家庭的保育事業,李　赤ちゃんホーム,（個人）,4,山本通５,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
家庭的保育事業,酒井　赤ちゃんホーム,（個人）,4,上筒井通６,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
小規模保育事業,Ohana保育園,（株）,19,中山手通４－１０－３　グランドメゾン中山手２Ｆ,763-0087,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:30,○,
小規模保育事業,トアハッピー保育園,（株）,19,中山手通３－２－１　トア山手ザ・神戸タワー１Ｆ,391-7741,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,
小規模保育事業,さんのみやキッズ,（株）,19,琴ノ緒町５－６－１９　プリオール三宮１Ｆ,242-4115,満１歳,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,
小規模保育事業,ポピンズ神戸旧居留地,（株）,19,明石町３０　常盤ビル３Ｆ,332-3371,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,
小規模保育事業,スペースかすがのみち保育ルーム,（特非）,12,筒井町３－１２－１０　三浦ビル１Ｆ,241-6722,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
小規模保育事業,小規模保育園　はーもにぃ,（一社）,12,脇浜町３－５－１９　ワコーレアプローズ２Ｆ,262-1714,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
小規模保育事業,新神戸アイテラス保育園,（株）,12,生田町１－２－３４　オリバーサイド８８　１Ｆ,200-5550,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:30,○,
小規模保育事業,小規模保育園なぎさ,（福）,19,中山手通４－１７－２　セントラルビル１Ｆ,232-0230,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,20:00,○,
小規模保育事業,元町キッズルーム,（福）,12,花隈町８－１９　ケンコーハイツ１Ｆ,335-6988,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,○,
小規模保育事業,フォアベルク保育園,(一社),12,磯辺通４－２－１４　エスリード三宮フラワーロード１F,891-7171,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
小規模保育事業,キッズパートナー三宮,(株),19,二宮町１－１０－１　ローレル三宮ノースアベニュー１F,221-7342,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
小規模保育事業,神戸YWCA保育園,(公財),12,二宮町１－１２－１０　神戸YWCA会館１F,231-6201,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,神戸オリーブ保育園,(株),19,山本通１－７－１１　ドゥマンビル３F,222-5567,生後６か月,2歳児クラス,7:30,18:30,8:30,16:30,7:00,20:00,○,
小規模保育事業,京進のほいくえんHOPPA神戸駅前園,(株),12,相生町５－１０－１　相生ビル１F,335-8093,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,〇,
事業所内保育事業,はーもにぃIsobe,(一社),12 (内地域枠6),磯辺通２－２－２５　ダイワピュアビル１F,231-5963,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　宝地院保育園,（福）,130＊,荒田町３－１７－１,511-0167,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　大同保育園,（福）,150＊,大同町２－２－１６,521-5081,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　モーツァルト兵庫こども園,（福）,90＊,大開通１０－１－４,575-6666,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　神港みどり幼稚園,(学),30＊,会下山町２－５－３２,521-1834,３歳児クラス,５歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,○
保育所,運南保育所,（公立）,54,浜中町１－１７－１１,651-3111,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,松原保育所,（公立）,120,松原通４－２－２７,651-5521,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,羽坂保育所,（公立）,106,羽坂通４－１－１,575-5790,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,平野保育所,（公立）,124,下祗園町６－２４,341-5348,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,小河保育所,（公立）,73,小河通３－２－１４,651-1830,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,○
保育所,ゆりかご保育園,（福）,90,氷室町２－１４－１,521-1122,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,本願寺派湊川保育園,（宗）,60,湊川町９－２－１６,521-4363,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,神徳館保育所,（福）,70,御崎本町１－１－３１,671-6442,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,18:30,○,○
保育所,ルンビニー愛児園,（宗）,90,中道通９－１－８,577-1598,満１歳,５歳児クラス,7:00,18:00,8:30,16:30,7:00,18:30,○,○
保育所,ちびくろ保育園,（福）,60,松原通４－４－７,651-6151,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,18:30,○,○
保育所,御崎保育所,（福）,100,浜山通２－２－７,671-4000,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,18:30,,○
保育所,兵庫保育園,（福）,90,東出町２－１２－９,671-0173,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,20:00,○,○
家庭的保育事業,平岡　赤ちゃんホーム,（個人）,5,三川口町３－３－６,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
家庭的保育事業,藪本　赤ちゃんホーム,（個人）,5,水木通５－３－１６－２０２,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,18:00,,
家庭的保育事業,久留島家庭託児所,（個人）,3,五宮町６－５,,満１歳,２歳児クラス,-,-,8:00,16:00,8:00,17:30,,
小規模保育事業,モーツァルト兵庫駅ナカ小規模保育園,（福）,19,駅南通５－３－７,531-2222,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,○,
小規模保育事業,小規模保育園　めいせい,（福）,12,大開通７－４－３　ＴＭコート大開２F,575-2177,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,
小規模保育事業,小規模保育　おはな保育園,（福）,19,中道通３－３－１３　２F,381-6874,満１歳,２歳児クラス,8:00,19:00,8:00,16:00,8:00,19:30,○,
小規模保育事業,宝地院保育園ふたば,（福）,19,荒田町１－４－１ グランパレ大倉山ウエストタワー１Ｆ,070-5265-0167,生後６か月,２歳児クラス,8:00,19:00,8:30,16:30,8:00,19:00,○,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,認定こども園　このみ保育園,（福）,70*,山田町下谷上字箕谷２１－１,583-2203,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　星和台幼稚園,（学）,90*,星和台２－１６－１３,593-9100,１歳児クラス,５歳児クラス,8:00,19:00,9:00,17:00,7:00,19:00,,○
幼保連携型認定こども園,幼保連携型認定こども園　五葉幼稚園,（学）,100*,北五葉３－７－２,591-0718,１歳児クラス,５歳児クラス,8:00,19:00,9:00,17:00,7:00,19:00,,○
幼保連携型認定こども園,幼保連携型認定こども園　みどりこども園,（福）,110*,日の峰１－２０－１,581-7077,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　鈴蘭台北町こども園,（福）,90,鈴蘭台北町６－１－１８,592-5911,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
幼稚園型認定こども園,認定こども園　鈴蘭台幼稚園,（学）,70*,鈴蘭台南町１－２－１５,591-0617,２歳児クラス,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,,○
幼稚園型認定こども園,認定こども園　ひよどり台幼稚園,（学）,10*,ひよどり台５－２,743-2061,３歳児クラス,５歳児クラス,8:00,19:00,8:00,16:00,-,18:00,,〇
幼稚園型認定こども園,認定こども園　正英幼稚園,（学）,50*,泉台５－１１,593-3176,２歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,桜の宮保育所,（公立）,136,甲栄台２－４－１,593-2290,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,君影保育所,（公立）,69,君影町５－１－１７,593-8550,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,鈴蘭台西町保育所,（公立）,54,鈴蘭台西町３－６－２０,593-6317,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,ひよどり台保育所,（公立）,110,ひよどり台２－１－４,743-1850,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,○
保育所,鈴蘭台南町保育所,（公立）,120,鈴蘭台南町４－２－２８,592-6030,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,鈴蘭台保育園,（個人）,50,鈴蘭台東町５－８－１７,591-4423,１歳児クラス,５歳児クラス,7:00,18:00,8:00,16:00,7:00,18:30,,○
保育所,太陽の子保育園,（福）,120,惣山町１－７－５,593-6619,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,18:30,○,○
保育所,頌栄保育園,（福）,90,鳴子２－１１－２,593-3893,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,谷上保育園,（株）,90,谷上東町１－１谷上SHビル４・５階,586-5866,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
保育所,谷上保育園きらら分園,（株）,20,谷上西町１－３２,586-3017,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,
保育所,すずらんキッズ保育園,（福）,30,鈴蘭台南町１−４−４０,591-2637,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
保育所,西鈴蘭台頌栄保育園,（福）,120,南五葉２－３－１１,592-4105,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,,○
保育所,山のまち保育園,（福）,100,緑町２－７－１９,581-1121,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,村上　赤ちゃんホーム,（個人）,5,星和台７,,生後７週目,,ス 7:30,18:30,8:00,16:00,7:30,18:30,,
家庭的保育事業,赤ちゃんホームもものみ,（株）,5,鈴蘭台西町４－９－１２,,生後７週目,０歳児クラス,-,-,7:30,15:30,7:30,18:00,,
小規模保育事業,小規模保育園小倉台ひまわり,（株）,19,小倉台１－１６－５　ソーシャルコート神戸北１Ｆ,586-3310,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,○
小規模保育事業,小規模保育園　北鈴どんぐり園,（福）,12,若葉台１−１０−１９,907−6335,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,
小規模保育事業,アートチャイルドケア神戸谷上,（株）,19,谷上東町３－１１　ザ・谷上駅前レジデンス　１Ｆ,586-1388,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:30,,
事業所内保育事業,さくら保育園,（福）,20 （内地域枠5）,山田町小部字惣六畑山８－１８,596-6632,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
幼保連携型認定こども園,幼保連携型　明照認定こども園,（福）,130*,有野台６－２２,982-7004,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型　つきかげ認定こども園,（福）,60*,藤原台中町２－５－１,987-4154,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　星の杜こども園,（福）,80*,鹿の子台南町１－２－１５,952-0415,生後６か月,５歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　キッズキャンパス,(学),80*,藤原台南町１－７－５,982-6300,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,○,○
幼保連携型認定こども園,幼保連携型認定こども園　八多保育園,（福）,140,八多町下小名田３２０－１,951-0302,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定星の子こども園,（福）,150*,鹿の子台北町３－２－２４,951-1152,生後６か月,５歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,○
幼稚園型認定こども園,認定こども園　六甲藤原台幼稚園,（学）,70*,藤原台中町３－１７－２,981-3301,２歳児クラス,５歳児クラス,7:30,18:30,8:00,16:00,7:30,18:30,,○
保育所,からと保育所,（公立）,100,唐櫃台２－３８－５,981-5448,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,18:30,,○
保育所,道場保育園,（宗）,90,道場町道場１０６,951-3861,生後６か月,５歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,○
保育所,有馬保育園,（福）,90,有馬町１６４４,904-4190,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
保育所,大池保育園,（宗）,70,西大池１－２１－１１,583-0101,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,ひとみ保育園,（福）,120,藤原台北町６－１８－３６,984-2468,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,オリンピア神戸北保育園,（福）,130,上津台６－１－１,986-0820,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,岡田　赤ちゃんホーム,（個人）,5,西山１,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
小規模保育事業,いつくしみ愛児園,（宗）,19,道場町日下部１６１６,951-6700,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,○
小規模保育事業,しんてつ・おかば園,（株）,12,有野町有野２２６１－２,981-8201,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,18:30,,
小規模保育事業,パンダこうとく保育園,（福）,12,淡河町野瀬４５７－１,958-0575,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○
小規模保育事業,小規模保育 かがやき保育園,(宗),12,道場町日下部１６１５－２,951-6700,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:30,19:00,○,○
小規模保育事業,こぐまプリスクール北神戸園,(特非),16,八多町中１１５０　グリーンガーデンモール北神戸内,951-1718,１歳児クラス,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,○,
事業所内保育事業,いちご保育園（恒生病院）,（医）,19 （内地域枠5）,道場町日下部１６６４,950-2622,生後６か月,２歳児クラス,8:00,19:00,9:00,17:00,8:00,19:00,,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　神戸保育園,（福）,80*,水笠通３－４－１４,621-2855,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　たから保育園,（福）,110*,東尻池町４－１３－１１,651-5211,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　神楽こども園,（福）,80*,神楽町２－２－２９,691-4600,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,神戸エンゼル認定こども園,（福）,60*,長楽町４－４－３,732-7887,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼稚園型認定こども園,認定こども園　近田幼稚園,（学）,100*,駒栄町４－１－１１,611-1344,生後１１か月,５歳児クラス,8:00,19:00,8:00,16:00,7:00,20:00,○,○
幼稚園型認定こども園,認定こども園　名倉幼稚園,（学）,40*,長田天神町１－１７－１３,691-0473,１歳児クラス,５歳児クラス,8:00,19:00,8:00,16:00,7:00,19:00,,○
保育所,長田保育所,（公立）,54,大塚町１－１－３１,691-7243,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,菅原保育所,（公立）,120,菅原通１－７２－１,576-0234,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,○,○
保育所,本庄保育所,（公立）,90,本庄町６－６－３,731-5803,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,駒栄保育所,（公立）,139,駒栄町３－１－１７,641-7555,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,房王寺保育所,（公立）,142,房王寺町５－１－５－１００,643-2301,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,明泉寺保育所,（公立）,120,明泉寺町１－６－８,641-4700,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,長田東保育所,（公立）,54,四番町３－４－４９,577-7536,１歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,浪松保育所,（公立）,120,浪松町２－１－７,731-5540,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,しりいけ保育所,（公立）,120,東尻池町６－３－３７,651-4192,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,ふたば保育所,（公立）,139,二葉町７－１－３０,621-8561,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
保育所,新生保育園,（福）,60,平和台町２－１－２３,621-3954,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,神視保育園,（福）,110,三番町４－８,576-4249,２歳児クラス,５歳児クラス,7:00,18:00,9:00,17:00,7:00,18:30,,○
保育所,天隣乳児保育園,（福）,50,三番町４－８,576-7171,生後６か月,１歳児クラス,7:00,18:00,9:00,17:00,7:00,18:30,○,○
保育所,けやき保育園,（福）,60,大日丘町３－１０－９,643-0112,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,みすまる保育園,（福）,120,池田広町３,691-6220,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,五位の池保育園,（福）,80,五位ノ池町２－１－９,621-1801,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,ほそだ保育園,（福）,140,細田町５－２－４,642-0395,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,豊福　赤ちゃんホーム,（個人）,4,宮川町４－８－７,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
小規模保育事業,こぐまプリスクール新長田園,（特非）,19,若松町３－１－２　アスタピア駅前通り２Ｆ,642-7328,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,20:00,○,
分類,施設名,組織,利用定員（2・3号）,所在地,電話番号,受入開始月齢,卒園年齢,保育標準時間（11時間） 開始時間,終了時間,保育短時間（８時間） 開始時間,終了時間,延長保育 開始時間（朝）,終了時間（夕）,一時預かり（一時保育）,園庭開放
幼保連携型認定こども園,幼保連携型認定こども園　若木保育園,（福）,80*,若木町１－２―２９,734-6281,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　大手幼稚園,（学）,40*,大手町７－１－１,731-0128,２歳児クラス,５歳児クラス,7:30,18:30,7:30,15:30,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　西須磨幼稚園,（学）,60*,桜木町２－２－１,731-2922,１歳児クラス,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○
幼保連携型認定こども園,幼保連携型認定こども園　神戸YMCAちとせ幼稚園,（学）,20*,高倉台４－１２,732-3542,３歳児クラス,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○
幼稚園型認定こども園,認定こども園　禅昌寺幼稚園,（学）,20*,禅昌寺町２－５－１,732-0944,３歳児クラス,５歳児クラス,－,18:30,9:00,17:00,8:30,18:00,,○
保育所,須磨保育所,（公立）,232,大黒町４－１－２,732-4842,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,たかとり保育所,（公立）,54,行平町２－２－１７,733-4000,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,高倉台保育所,（公立）,90,高倉台４－１－３,734-0092,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○
保育所,東須磨愛児園　本園,（福）,40,若木町３－６－２５,733-7712,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,東須磨愛児園　分園,（福）,30,若木町３－７－３,733-7712,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,太田共同保育園,（福）,40,大黒町５－２ー１３,736-3688,生後６か月,３歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○
保育所,千歳保育園,（福）,120,千歳町４－３－３６,735-0761,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○
保育所,村雨保育園,（福）,120,行幸町１－２－２６,733-4363,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,村雨保育園愛分園,（福）,12,行幸町１－２－５　メゾン須磨２０００１F,735-7008,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,すまいる保育園,（福）,90,高倉町１－６－２４,731-7076,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,いたやど保育園,（福）,70,大田町１－３－２４,735-3660,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,若宮保育園,（福）,50,若宮町３－３-１７,735-3277,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
保育所,たかとりちどり保育園,（福）,80,大池町５－１０－１５,732-2500,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○
家庭的保育事業,大池　赤ちゃんホーム,（個人）,5,戎町５,,生後７週目,２歳児クラス,-,-,8:00,16:00,8:00,17:30,,
家庭的保育事業,林　赤ちゃんホーム,（個人）,4,東町２,,生後７週目,２歳児クラス,-,-,8:00,16:00,8:00,18:30,,
家庭的保育事業,小原　赤ちゃんホーム,（個人）,4,飛松町４,,生後７週目,０歳児クラス,-,-,8:00,16:00,8:00,17:30,,
