所在区,分類,施　設　名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
,,,,,,,歳満 ～３,～ 3 歳,開始時間 （朝）,終了時間 （夕）,,,受入開始年齢,,
,,,,,,,,,,,,,１歳～,２歳～,
,,,,,,,,,,,,,,,
西区,幼稚園（私学助成制度）,春日台幼稚園,(学),320,春日台４－２,961-3000,,○,８：００,１８：００,○,週３日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　有瀬幼稚園,(学),464,伊川谷町有瀬８５４－１,974-4600,○,,７：００,１９：００,○,週４日,-,○,○
西区,幼稚園型認定こども園,認定こども園　さくらんぼ幼稚園,(学),255,桜が丘中町２－８－２,994-5225,○,,８：００,１７：００,○,週６日,-,○,○
西区,幼稚園（私学助成制度）,学園幼稚園,(学),400,学園西町５－３－２,792-1122,,○,８：００,１８：００,○,週４日,-,○,○
西区,幼稚園型認定こども園,認定こども園　桑ノ木幼稚園,(学),323,竹の台２－１０－１,991-4788,○,,７：００,１９：００,○,週５日,-,○,-
西区,幼稚園（私学助成制度）,いりえ幼稚園,(学),225,狩場台３－６－４,992-0700,,○,-,１７：３０,○,週３日,-,満３歳,○
西区,幼稚園（私学助成制度）,高羽美賀多台幼稚園,(学),305,美賀多台６－２,992-7777,○,,７：００,１９：００,○,週２日,-,満２歳,○
西区,幼稚園型認定こども園,認定こども園　いぶき幼稚園,(学),453,井吹台東町４－１９,997-0831,○,,７：００,１９：００,○,週５日,生後６ケ月,-,○
西区,幼稚園（私学助成制度）,西神戸YMCA幼稚園,(学),330,井吹台西町４－５,997-7705,,○,-,１８：００,○,週３日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　岩岡こども園,(福),155,岩岡町岩岡１１４４－９,967-0301,○,,７：００,１９：００,-,週６日,○,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　岩岡こども園　分園,(福),,岩岡町岩岡１１４１－５,967-0346,,４歳,７：００,１９：００,-,週６日,,,
西区,幼保連携型認定こども園,幼保連携型認定こども園　おっこう山,(福),105,神出町五百蔵１４２－４００,965-1445,○,,７：００,１９：００,-,週６日,生後６ケ月,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　あさひ保育園,(福),255,桜が丘東町１－３－１,994‐0170,○,,７：００,２０：００,-,週６日,満１歳,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　神戸潤和保育園,(福),75,伊川谷町潤和１５３８－１,976-5700,○,,７：００,１９：００,-,週６日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　ななほし保育園,(福),75,池上１-１３-１１,976-7784,○,,7:00,19:00,-,週５日,-,-,○
西区,幼保連携型認定こども園,幼保連携型認定こども園　同朋にこにこ園,(福),203,井吹台西町４－６,996-1525,,〇,７：００,１８：００,-,週５日,〇,-,〇
※認定こども園　名倉幼稚園は園舎建て替え工事のため、仮園舎(兵庫区菊水町10-39-22)で教育・保育を行います。園舎完成後、幼保連携型認定こども園に移行予定です。,,,,,,,,,,,,,,,
,備考：◆『組織』欄の（学）は学校法人立、（宗）は宗教法人立、（個人）は個人立、（福）は社会福祉法人立、（財）は財団法人立の略です。 　　　　◆平成29年度以降の、認定こども園等への移行状況は未定です。 　　　　◆預かり保育の詳細については、各園にご確認ください。 　　　　◆教育標準時間（教育時間）の設定については、各園で異なりますので、各園にご確認ください。 　　　　◆平成28年4月1日時点の情報であり、今後、記載内容が変更される可能性があります。ご了承ください。 ＜申込みについて＞ 　　　　◆申込み方法や日程等については、各園へご確認ください。 　　　　◆幼保連携型認定こども園や幼稚園型認定こども園の２号・３号認定の申込みについては、「保育利用のご案内」をご覧の上、 　　　 　　施設が所在する区の区役所・支所へお申込み下さい。 ＜利用者負担額（保育料）について＞ 　　　　◆幼保連携型認定こども園・幼稚園型認定こども園・幼稚園（新制度）の利用者負担額については、所得に応じてお住まいの市町村が定める額を 　　　　　 納入します。 　　　　◆幼稚園（私学助成制度）においては、各園が定める保育料を納入します。あわせて、私立幼稚園就園奨励助成金制度があります。,,,,,,,,,,,,,,
