所在区,分類,施 設 名,組織,認可 定員 (全体),所在地,電話番号,受入開始年齢,,預かり保育,,園バス,給食,未就園児教室,,園庭開放
,,,,,,,満3歳 ～,3歳 ～,開始時間 （朝）,終了時間 （夕）,,,受入開始年齢,,
,,,,,,,,,,,,,１歳～,２歳～,
長田区,幼保連携型認定こども園,幼保連携型認定こども園 近田幼稚園,(学),340,駒栄町４－１－１１,611-1344,○,,７：００,２０：００,○,週６日,生後11か月,-,○
長田区,幼稚園（私学助成制度）,あけぼの幼稚園,(学),120,片山町１－６－１２,691-7513,,○,７：００,２０：００,○,週４日,-,○,○
長田区,幼保連携型認定こども園,幼保連携型認定こども園 名倉幼稚園,(学),124,長田天神町１－１７－１３,691-0473,○,,７：００,１９：００,○,週５日,○,-,○
長田区,幼稚園（私学助成制度）,しろはな幼稚園,(学),130,池田寺町２５,641-2811,○,,-,１７：３０,○,週５日,-,満２歳,○
長田区,幼稚園（私学助成制度）,名倉みふね幼稚園,(学),280,名倉町２－５－５,691-8440,○,,７：００,２０：００,○,週５日,-,○,○
長田区,幼稚園（新制度）,丸山小羊幼稚園,(学),80,西丸山町２－３－３４,621-9424,○,,７：００,２０：００,○,週２日,-,満２歳,○
長田区,幼稚園（私学助成制度）,神戸常盤大学附属ときわ幼稚園,(学),160,大谷町２－６－２,631-6878,○,,-,１６：３０,○,週３日,-,○,○
長田区,幼稚園（私学助成制度）,高取台幼稚園,(学),240,上池田３－１７－６,641-4103,○,,７：００,１９：００,○,週３日,-,満２歳,○
長田区,幼保連携型認定こども園,認定こども園 神戸保育園,(福),95,水笠通３－４－１４,621-2855,○,,７：００,１９：００,-,週６日,-,-,○
長田区,幼保連携型認定こども園,幼保連携型認定こども園 たから保育園,(福),135,東尻池町４－１３－１１,651-5211,○,,７：００,１９：００,-,週６日,-,-,○
長田区,幼保連携型認定こども園,認定こども園 神楽こども園,(福),105,神楽町２－２－２９,691-4600,○,,７：００,１９：００,-,週６日,-,-,○
長田区,幼保連携型認定こども園,神戸エンゼル認定こども園,(福),72,長楽町４－４－３,732-7887,,○,７：００,１８：００,-,週６日,-,-,○
長田区,幼保連携型認定こども園,幼保連携型認定こども園 新生こども園,(福),69,平和台町２－１－２３,621-3954,○,,７：００,１９：００,-,週５日,-,-,○
長田区,幼保連携型認定こども園,幼保連携型認定こども園 五位の池こども園,（福）,86,五位ノ池町２－１－９,621-1801,○,,７：００,１９：００,-,週５日,-,-,○
長田区,幼保連携型認定こども園,幼保連携型認定こども園 ほそだ,（福）,155,細田町５－２－４,641-6666,○,,７：００,１８：００,-,週６日,-,-,○
須磨区（本区）,幼稚園（私学助成制度）,須磨浦幼稚園,(学),100,千守町２－１－８,731-2104,,○,７：３０,１８：００,-,週４日,-,満２歳,○
須磨区（本区）,幼稚園（私学助成制度）,兵庫大学附属須磨幼稚園,(学),300,行幸町２－６－１９,731-2666,,○,７：００,１９：００,○,週３日,-,○,○
須磨区（本区）,幼稚園（新制度）,千鳥幼稚園,（宗）,160,千守町１－３－２１,733-2825,,○,-,１６：００,-,-,-,満２歳,-
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 西須磨幼稚園,(学),320,桜木町２－２－１,731-2922,○,,７：００,１９：００,○,週６日,-,○,○
須磨区（本区）,幼稚園型認定こども園,認定こども園 禅昌寺幼稚園,(学),300,禅昌寺町２－５－１,732-0944,,○,-,１７：００,○,週４日,-,○,○
須磨区（本区）,幼保連携型認定こども園,幼保連携型認定こども園 大手幼稚園,(学),175,大手町７－１－１,731-0128,,○,７：００,１９：００,-,週６日,-,○,○
須磨区（本区）,幼稚園（私学助成制度）,育英幼稚園,（財）,200,板宿町２－２－１,731-0381,○,,-,１８：００,-,週３日,満１歳,-,○
