,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成29年12月19日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 50週 平成29年12月11日 ～ 平成29年12月17日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,～12ヶ月,,,1歳,2歳,,3歳,4歳,5歳,,6歳,7歳,8歳,9歳,～14歳,,～19歳,,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳 80歳～
インフルエンザ,,,,,,16,15,12,,2,5,,12,22,46,31,161,,,,,,3,,,2,7,,7,12,9,,16,14,6,7,19,,7,,6,11,14,6,6,6 3
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,～12ヶ月,,,1歳,2歳,,3歳,4歳,5歳,,6歳,7歳,8歳,9歳,～14歳,,～19歳,,20歳～,,今週、眼科定点医療機関から流 行性角結膜炎の患者が7名報告さ れており、（第49週：3名、第48 週：3名）家族内での感染等の情 報提供がありました。 流行性角結膜炎は、通常、夏に 流行し、7～12日の潜伏期を経 て、急に発症し、結膜の充血と浮 腫などが起こります。角膜に炎症 が及ぶと角膜の表面に混濁が起こ り、混濁が消えるまで長期にわた ることもあります。眼科では、迅 速キットによる検査や目視による 診断を行います。また、感染力が 強いため、学校保健安全法では、 治るまで登校禁止となります。 予防として、手洗いの励行や個 人用のタオルの使用、患者が眼を ふいた綿、ティッシュペーパー等 に注意するなど、接触感染を防ぎ ましょう。,,,
ＲＳウイルス感染症,,,,,,1,,1,,,4,,,2,7,10,25,,,,,,5,,,8,6,,4,2,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,1,,,,,2,,,,3,1,7,,,,,,1,,,1,,,3,1,,,,1,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,12,6,,,,3,,3,4,6,20,54,,,,,,,,,2,4,,6,3,8,,7,3,3,4,12,,,,2,,,,,
感染性胃腸炎,,,,,,28,6,24,,3,31,,11,49,60,17,229,,,,2,,16,,,43,31,,19,21,18,,19,11,6,2,18,,6,,17,,,,,
水痘,,,,,,5,,2,,1,1,,1,4,2,,16,,,,,,,,,1,1,,1,1,5,,2,1,1,3,,,,,,,,,,
手足口病,,,,,,3,1,2,,,1,,3,1,,3,14,,,,,,,,,3,4,,1,2,2,,1,,1,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,3,,,,,,,1,1,,2,7,,,,,,3,,,3,1,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
ヘルパンギーナ,,,,,,,1,,,,,,,1,,,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,1,,,1,1,6,9,,,,,,,,,1,1,,1,3,1,,,1,,1,,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手洗いポスター 神戸市HP,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,～6ヶ月,,～12ヶ月,,,1歳,2歳,,3歳,4歳,5歳,,6歳,7歳,8歳,9歳,～14歳,,～19歳,,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～ 況 、
急性出血性結膜炎,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,2,1,,,1,1,,,,1,1,7,,,,,,,,,,,,,,,,,,2,,1,,1,,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,他の感染症情,,,情報】,】 【,,,,,【市,,市内の感染症の状況】,,,,,,,,】,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
