
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,2,,,,,,,,,,,1,3,,,,,1,,,,,,1,,,1,,,,,,,,

疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,5,,2,,,,8,,1,6,7,9,38,,,6,5,14,7,,5,1,,,,,,,
咽頭結膜熱,,,,,,,1,,,,,,,,1,1,1,,4,,,,,,,,,1,1,1,,1,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,4,4,3,,,,,,1,1,3,1,17,,,,,,3,,1,2,1,3,3,1,,3,
感染性胃腸炎,,,,,,,5,4,3,,,,13,,9,14,31,8,87,,,1,9,17,15,,6,9,1,5,,5,5,6,1
水痘,,,,,,,,,,,,,,,,1,3,1,5,,,,,,,,,,3,,1,,1,,
手足口病,,,,,,,1,,,,,,1,,1,5,6,1,15,,,1,3,2,3,,1,1,3,,,,,1,
伝染性紅斑,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,
突発性発疹,,,,,,,1,,,,,,,,3,1,1,3,9,,,,3,3,1,,2,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,1,,1,,,,1,,,2,5,1,11,,,,3,2,1,,,1,1,,,1,1,1,
流行性耳下腺炎,,,,,,,1,,,,,,2,,,2,2,3,10,,,,,,,,1,,4,1,1,1,,2,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
