
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,8,1,1,1,7,3,3,6,11,41,,,,3,2,2,2,4,4,1,2,5,2,1,3,3,5,2,1

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,1,,,,,,1,,1,3,1,1,,,1,,,,,,,,
咽頭結膜熱,2,,,1,,,2,9,2,16,,1,6,4,1,1,1,,,1,,1,
Ａ群溶血性レンサ球菌咽頭炎,6,6,6,,,2,,7,25,52,,,1,1,6,3,6,9,4,7,3,10,
感染性胃腸炎,7,15,21,6,39,7,43,70,10,218,2,7,36,24,25,27,11,19,14,15,5,18,1
水痘,,,,2,,1,1,2,,6,,,,,1,,3,,1,1,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,1,1,6,,1,3,,12,,1,,,,3,3,1,1,,1,1,
突発性発疹,1,1,1,1,1,,3,3,3,14,,5,6,2,,,1,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,2,,,,,,,,,2,,,,,1,,,,,,1,,
流行性耳下腺炎,1,1,,,5,,1,3,1,12,,,1,,2,2,3,2,,1,,1,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,
流行性角結膜炎,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,
