
疾病名称,,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,,垂水,西,計,,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,,9歳,～14歳,～19歳,,,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,1,,

疾病名称,,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,,垂水,西,計,,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,,9歳,～14歳,～19歳,,
ＲＳウイルス感染症,,,,,,,2,,1,,,,,,2,,3,8,16,,,,,2,,,,1,9,1,,,3,,,,,,,,,,,,
咽頭結膜熱,,,,,,,4,,,,,,,,1,,1,1,7,,,,,,,,,,2,2,,,,,1,1,,1,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,2,7,,,,4,,1,3,,4,14,35,,,,,,,,,,1,2,,,5,,3,5,2,5,4,,1,6,,,
感染性胃腸炎,,,,,,,3,4,6,,6,24,,9,30,,54,20,156,,,,,3,,,,13,30,22,,,12,,10,7,11,4,5,,3,14,2,,
水痘,,,,,,,4,,,,,,,,1,,,,5,,,,,,,,,,2,,,,1,,,1,1,,,,,,,,
手足口病,,,,,,,43,7,15,,6,29,,22,47,,46,29,244,,,,,,,,,23,82,42,,,34,,22,17,7,2,1,,3,3,,,
伝染性紅斑,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
突発性発疹,,,,,,,1,,,,,1,,1,1,,,4,8,,,,,,,,,3,3,2,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,,
ヘルパンギーナ,,,,,,,9,3,1,,1,10,,3,27,,19,11,84,,,,,,,,,6,22,14,,,9,,12,6,6,2,2,,1,3,,,
流行性耳下腺炎,,,,,,,6,2,,,,5,,,1,,10,4,28,,,,,,,,,,1,,,,1,,7,7,3,2,1,,2,4,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,,垂水,西,計,,,,,～6ヶ月,,,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,6歳,7歳,8歳,,9歳,～14歳,～19歳,,,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,,関,,,,,,他の感染症情,,,情報】,】 【,,,,,,【市,,,,,,,,,,,】,,,,,,,,,,,,,,,,,,,
,,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○細気管支炎1例：0歳1ヶ月 男 北 区○細菌性腸炎（病原性大腸菌O1）1例：0歳6ヶ月 男 垂水区○細菌性腸炎（病原性大腸菌O1）1例：年齢性別不明,,,,,,,,,,,,,,,,,,ーは神戸,今週の手足口病の定点あたり患者数は7.9人です。 市内では、 警報レベル（定点あたり5人以上）継続中です。 手足口病 警報レベル期間（第26週～）の病原体別報告数（累積）,,,,,,,,,,,,,,,,,,,,,,,,,手足口病について｜神戸市ホームページ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,コクサッキーウイルスA6型,,,,,,,,,,,コクサッキーウイルスA10型,,,,,,エンテロウイルス71型,,,,,型,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【夏休みに海外渡航予定のみなさまへのお知らせ】 海外では、麻しんやジカウイルス感染症などが流行している地域があ ります。,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,【コメント欄の用語解説】 ※1 神戸モデル（感染症早期探知・地域連携システム）：地域・学校園・施設・医療 連携強化により感染症予防を図る取組み。,,,,,,,,,,,,,,,,,,,,,,,,神戸モデルについて｜ILI情報センター,,,,,,,
渡航前に、渡航先で流行している感染症の情報を調べ、十分な対策を とりましょう。 【基幹定点（市内 3ヶ所）からの報告】 また、ワクチンで予防できる病気には、ワクチン接種を検討しましょう。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,療機関等と保健所・区との 内の感染症の発生情報の正確な把握 る医療機関のこと。,,,,,,,
ここに注意！海外渡航にあたって｜FORTH および分析のため、県・市で推薦・指定した情報収集に協力いただいている医療機関のこと。 〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
