"神戸市感染症発生動向調査週報 平成29年1月11日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第1週 2017年 1月 2日 ～ 2017年 1月 8日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,23,26,11,20,12,27,43,,59,48,,269,1,,1,12,4,,12,11,8,9,7,,10,6,,40,18,29,17,38,17,12,10,7
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,,流行性角結膜炎はアデノウイルス （主にD群8型、19型、37型）によ る疾患で患者の涙液や眼脂で汚染 された手指、タオル類等を介した 接触により感染し、8～14日の潜 伏期後、結膜の充血、まぶたの浮 腫、流涙、目やに、角膜混濁等の 症状が現れます。多くは発症後2 ～3週間で治癒します。 近年はかつてのような夏に多いと いう明瞭な季節性がみられなく なってきています。1～5歳の小児 に多いですが、成人も含み幅広い 年齢層にみられます。神戸市では 市内10か所の眼科定点から年間 100～200件の報告があります。 感染力が非常に強く、学校、病 院、家庭内等での集団発生がみら れます。疑わしい症状があれば、 眼科を受診しましょう。 また、学校保健安全法では、医師 が感染の恐れがないとみとめるま で出席停止になります。,,,,
ＲＳウイルス感染症,,1,,,,,,,,2,,,3,1,,1,,,,1,,,,,,,,,,,,,,,,,
咽頭結膜熱,,1,,,,1,1,3,,,,,6,,,,1,,,1,,1,,,,,1,,1,,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,5,1,1,,,2,1,,1,11,,22,,,,,,,2,1,2,2,4,,1,1,,4,1,4,,,,,,
感染性胃腸炎,,6,5,4,2,13,3,24,,36,20,,113,,,5,11,8,,7,4,12,14,9,,6,1,,9,3,24,,,,,,
水痘,,,3,,2,4,,4,,,6,,19,,,1,,1,,2,,3,4,2,,2,2,,2,,,,,,,,
手足口病,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
