
疾病名称,,,,,,,,,,,,東灘,,,,灘,中央,,兵庫,,北,,,長田,須磨,垂水,西,計,,,,,,～6ヶ月,,,～12ヶ月,,,1歳,,,,2歳,,3歳,,4歳,,5歳,6歳,7歳,8歳,9歳,,,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,,,～79歳
インフルエンザ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,,,,,,,,,,,,東灘,,,,灘,中央,,兵庫,,北,,,長田,須磨,垂水,西,計,,,,,,～6ヶ月,,,～12ヶ月,,,1歳,,,,2歳,,3歳,,4歳,,5歳,6歳,7歳,8歳,9歳,,,,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,4,,,,,,1,,,,,,2,,,,,,,,,,,,,,1,,,,,
咽頭結膜熱,,,,,,,,,,,,6,,,,3,1,,,,1,,,1,3,11,1,27,,,,,,,,,4,,,4,,,,5,,3,,3,,2,,1,2,1,,,,1,1
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,,,,8,,,,9,,,,,16,,,2,2,5,17,59,,,,,,,,,,,,2,,,,5,,2,,10,,5,5,7,7,4,,,,11,1
感染性胃腸炎,,,,,,,,,,,,12,,,,7,3,,5,,45,,,8,28,63,21,192,,,,,,2,,,11,,,34,,,,18,,19,,25,,10,10,11,10,10,,,,11,3
水痘,,,,,,,,,,,,,,,,1,,,1,,9,,,,1,4,1,17,,,,,,1,,,,,,3,,,,1,,2,,3,,,4,2,1,,,,,,
手足口病,,,,,,,,,,,,33,,,,15,30,,4,,31,,,32,50,74,70,339,,,,,,6,,,30,,,117,,,,81,,29,,35,,14,6,6,3,3,,,,5,
伝染性紅斑,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
突発性発疹,,,,,,,,,,,,5,,,,,,,,,1,,,1,1,2,2,12,,,,,,,,,4,,,7,,,,1,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,9,,,,2,,,2,,5,,,9,7,11,20,65,,,,,,,,,7,,,20,,,,17,,4,,7,,5,1,1,1,,,,,1,
流行性耳下腺炎,,,,,,,,,,,,,,,,2,1,,,,2,,,,5,8,4,22,,,,,,,,,,,,1,,,,,,2,,5,,4,4,2,,3,,,,1,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,,,,東灘,,,,灘,中央,,兵庫,,北,,,長田,須磨,垂水,西,計,,,,,,～6ヶ月,,,～12ヶ月,,,1歳,,,,2歳,,3歳,,4歳,,5歳,6歳,7歳,8歳,9歳,,,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
