
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳 7歳,,,8歳,9歳,,,,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,279,69,52,37,111,61,138,,210,229,,"1,186",3,,12,33,43,,,47,,83,,,70,,74 65,,,86,58,,,,228,,103,35,,71,67,51,31,16

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳 7歳,,,8歳,9歳,,,,～14歳,,～19歳
ＲＳウイルス感染症,,2,,,,2,,3,,1,,,8,,,1,6,1,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,2,,1,,,,7,,,3,,13,,,,4,2,,,2,,,,,2,,1,,,,1,,,,,,1
Ａ群溶血性レンサ球菌咽頭炎,,1,4,2,,8,,1,,,7,,23,1,,,2,1,,,2,,,,,3,,3 3,,,2,2,,,,3,,
感染性胃腸炎,,20,4,15,6,18,8,20,,65,19,,175,3,,5,15,17,,,14,,20,,,14,,12 12,,,11,5,,,,17,,7
水痘,,3,,,1,4,,1,,,10,,19,2,,,1,1,,,2,,2,,,1,,5 1,,,,,,,,4,,
手足口病,,,,,,,,2,,1,,,3,,,,1,,,,1,,,,,1,,,,,,,,,,,,
伝染性紅斑,,,1,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1,,
突発性発疹,,4,,1,,,1,1,,3,8,,18,,,12,6,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
流行性耳下腺炎,,6,4,1,,5,6,,,7,12,,41,,,1,1,3,,,1,,5,,,5,,9 5,,,5,3,,,,3,,

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳 7歳,,,8歳,9歳,,,,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,1,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
