神戸市感染症発生動向調査週報 2017年 4月 18日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 15週 平成29年4月10日 ～ 平成29年4月16日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,～59歳,,～69歳,～79歳,,80歳～
インフルエンザ,,5,5,23,3,14,2,2,10,16,80,,1,3,4,5,12,7,8,6,1,3,3,5,4,2,,8,1,,5,2,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,,　海外で感染し、国内に持ち込ま れた麻しん事例が全国で散発して います。現在、モンゴル、中国、 マレーシアや予防接種率の低いア フリカ、南アジア、欧州などで流 行が起こっています。麻しんは、 空気感染し、感染力が強く、手洗 い、マスクでの予防はできませ ん。帰国後、3週間以内に典型的 な3症状(発熱・発疹・カタル症 状)があった場合は、病院を受診 し、渡航歴を伝えましょう。また ゴールデンウィークで海外へ出か ける人が多くなりますが、その際 には、検疫所や外務省が提供して いる感染症情報で渡航先の感染症 流行状況を確認し、その感染症に 応じた予防対策を行いましょう。,,,,,,
ＲＳウイルス感染症,,3,,,1,1,,3,1,6,15,2,3,6,3,1,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,1,,3,3,7,,,1,2,2,2,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,13,1,,4,1,3,12,2,36,,,5,3,6,8,6,2,2,2,,1,,1,,,,,,,,,
感染性胃腸炎,,13,14,9,5,29,7,34,74,29,214,1,14,26,31,23,22,25,5,12,8,5,16,7,19,,,,,,,,,
水痘,,3,,1,,1,,,,2,7,,,,,,,,4,,2,1,,,,,,,,,,,,
手足口病,,1,1,,,,,1,,,3,,,1,1,,1,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,1,,1,,2,,,,1,,1,,,,,,,,,,,,,,,,,
突発性発疹,,5,1,,,1,1,3,3,3,17,,7,7,2,1,,,,,,,,,,,,,,,,,,
百日咳,,,,,,2,,1,,,3,1,,,,,,,,,1,,,,1,,,,,,,,,
ヘルパンギーナ,,2,,1,,,,,,1,4,,,1,2,,,,,1,,,,,,,,,,,,,,
流行性耳下腺炎,,4,1,2,,6,3,4,3,9,32,,,1,1,4,2,4,2,6,3,5,3,,1,,,ゴールデンウィーク中に海外渡航さ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,れる方へ（厚生労働省のホームページ）,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,～59歳,,～69歳,70歳～,,
急性出血性結膜炎,,,,,,,,,,2,2,,,,,,,,,1,,,,,,1,,,,,,,,
流行性角結膜炎,,,,,1,,1,,1,,3,,,,,,,,,,,,,,1,1,,,,,1,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ロタウイルス感染症3例：3～5歳　男女 灘　 区○おたふくかぜ+溶連菌2例：4～5歳　女 中央区○アデノウイルス感染症1例：9歳　男 　　　　 ○ロタウイルス感染症1例：3歳　女 北　 区○アデノウイルス感染症3例：1～10歳　男女 垂水区○細菌性腸炎（カンピロバクター）2例：年齢性別不明 　　　 　○ヒトメタニューモウイルス感染症2例：年齢性別不明 垂水区○細菌性腸炎（カンピロバクター）1例：1歳　女 西　 区○アデノウイルス感染症1例：5歳　女,,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は16人（うち潜在性結核感染症5人）です。 【市内の感染症の状況】 ・ ロタウイルス感染症の患者が増加しています。 ・ インフルエンザの定点あたり患者数は 1.7人（先週 2.2人）と減少し、流行終息のめやす 　　となる定点あたり患者数 1.0人に近づいています。 ・インフルエンザ定点機関からの報告で、B型インフルエンザ陽性患者がA型インフルエンザ 　　陽性患者を上回りました。,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけ 　神戸市　発生動向　〔検索〕 「ILI情報センター」ホームページを開設,,,,,,,,,,,,,,,A型,,,B型,,,ック,
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,31,,,,
（インフルエンザ定点機関から報告された迅速キット陽性情報） 基幹定点（市内 3ヶ所）からの報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,けます。 設しました！詳細はこちらをクリック,,,,,,,
・ロタウイルス胃腸炎2例（入院）：0～3歳　女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
