
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,1,,,,,,,1,,,1,,,,,,,,,,,,
咽頭結膜熱,7,2,,2,,,1,2,1,15,,1,3,2,3,2,2,,1,,,,,1,
Ａ群溶血性レンサ球菌咽頭炎,6,3,,,5,1,2,4,17,38,,,2,1,3,2,2,4,4,4,5,9,,2,
感染性胃腸炎,17,8,4,9,10,7,17,61,8,141,1,7,27,20,7,14,13,7,7,8,3,7,3,17,
水痘,,2,,,1,,1,,2,6,,,1,1,,,,1,,1,1,,1,,
手足口病,1,2,3,2,2,1,3,4,,18,,1,7,5,1,2,,,,1,1,,,,
伝染性紅斑,2,,1,,,1,,,,4,,,,1,,1,1,,1,,,,,,
突発性発疹,2,,,,1,,2,4,1,10,,5,4,1,,,,,,,,,,,
百日咳,,,,,,,2,,,2,,,1,1,,,,,,,,,,,
ヘルパンギーナ,16,3,3,1,10,5,6,21,14,79,1,6,27,17,9,7,6,2,1,,,2,,1,
流行性耳下腺炎,6,3,1,1,18,3,11,11,12,66,,,,3,3,8,14,14,10,4,2,5,1,2,

,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,
