
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,17,1,,,,2,,,,5,2,27,,,,1,,,,2,3,6,2,1,,,,4,,2,2,,2,,2

疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,,～14歳,～19歳,20歳～
ＲＳウイルス感染症,,,,,,,4,,,,,,3,,1,4,3,11,26,,,2,6,13,3,,2,,,,,,,,,,
咽頭結膜熱,,,,,,,3,,,,,,,,,,1,1,5,,,,,1,1,,1,1,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,6,7,1,,,,3,,2,1,6,13,39,,,,,,1,,4,6,4,2,2,5,5,,9,1,
感染性胃腸炎,,,,,,,2,4,11,,,1,20,,10,21,33,8,110,,,1,6,24,15,,12,5,7,3,6,3,6,,7,3,12
水痘,,,,,,,1,1,,,,,2,,,1,2,2,9,,,,1,1,1,,,,1,,2,1,1,,,,1
手足口病,,,,,,,1,,,,,,,,4,1,1,2,9,,,,,1,1,,4,1,2,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,3,,1,,,,,,,2,4,,10,,,,1,7,1,,,,1,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,1,,1,1,3,,,,,1,,,,,1,,1,,,,,,
流行性耳下腺炎,,,,,,,,,1,,,1,,,,,1,3,6,,,,,,,,,2,1,,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,,他の感染症情,,,,情報】,】 【,,,,,【市,市内の感染症の状況】,,,,,】,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○マイコプラズマ感染症1例：12歳 男 灘 区○マイコプラズマ肺炎1例：7歳 女 中央区○アデノウイルス感染症1例：4歳 女 北 区○細菌性腸炎（病原性大腸菌O25）1例：9歳 男,,,,,,,,,,,,,,,,,,,○インフルエンザ 今週のインフルエンザ患者の報告は、定点あたり0.6人です（先週0.3人）。 まだ流行期（定点あたり1人）ではありませんが、今後の動向に注意しましょう。,,,,,,,,,,,,,,,,,,
○細菌性腸 垂水区○細菌性腸,,,,,,腸炎（カンピロバクター）1例：9歳 男 腸炎（カンピロバクター）2例：年齢性別不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,【行政検査情報】※行政,,,,,,,政検査：公衆衛生上、問題,,,,,,,,,について市が行う検査,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,題となる病原体について市が行う検査,,,,,,
,,,,,,,,,,,,,,,,,,,○麻しん（五類感染症）疑い 検査結果：PCR陰性 ・1歳 男 ・症状：発熱、融合傾向の発疹、咳、鼻水 ・本人・家族ともに渡航歴なし。家族に同様の症状なし ・ワクチン接種歴なし,,,,,,,,,,,,,,,○麻しん（五類感染症）疑い 検査結果：PCR陰性 ・17歳 女 ・症状：発熱・麻しん様発疹・コプリック斑 ・水痘患者との接触歴あり ・ワクチン接種歴あり,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【 無,【基幹定点（市 無菌性髄膜炎2,,,,,,,,,,】 女,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,市内 3ヶ所）からの報告】 2例：4歳 男、0歳1か月女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,現在、国内で麻しんの発生はなく、神戸市でも発生しておりません。届出の際には、疑い患者の周囲の状況もお知らせください。,,,,,,,,,,,,,,,,,,
現在、国内で麻しんの発生はなく、神戸市でも発生しておりません。届出の際には、疑い患者の周囲の状況もお知らせください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
