
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,～6ヶ月,～12ヶ月,,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,,～59歳,～69歳,,～79歳
インフルエンザ,,,,,,13,5,23,,1,5,,7,5,19,,10,88,,1,,5,2,3,11,9,5,7,3,4,13,4,3,4,,8,,2,3,,1

疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,～6ヶ月,～12ヶ月,,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,1,,,,,,,,1,,,5,7,2,1,,1,,3,,,,,,,,
咽頭結膜熱,,,,,,2,,,,,,,,1,5,,2,10,,,,4,1,3,1,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,7,5,1,,,7,,3,3,2,,22,50,,,,2,4,9,7,5,4,4,3,3,9,
感染性胃腸炎,,,,,,16,7,8,,9,22,,10,39,82,,25,218,4,13,,43,25,23,30,13,15,9,2,5,13,5
水痘,,,,,,,,,,,2,,1,1,2,,1,7,2,,,,2,,,,,1,1,1,,
手足口病,,,,,,2,,,,,,,,,8,,3,13,,1,,2,6,1,1,2,,,,,,
伝染性紅斑,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,
突発性発疹,,,,,,3,1,2,,1,1,,,2,,,4,14,,3,,11,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,
流行性耳下腺炎,,,,,,3,1,1,,1,3,,2,,2,,3,16,,,,,,1,1,2,2,1,4,1,1,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,～6ヶ月,～12ヶ月,,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,,～59歳,～69歳,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
