"神戸市感染症発生動向調査週報 平成29年1月25日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第3週 2017年 1月 16日 ～ 2017年 1月 22日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳 7歳,,,8歳,9歳,,,,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,279,69,52,37,111,61,138,,210,229,,"1,186",3,,12,33,43,,,47,,83,,,70,,74 65,,,86,58,,,,228,,103,35,,71,67,51,31,16,10
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳 7歳,,,8歳,9歳,,,,～14歳,,～19歳,20歳～,,,全国各地で家きんや死亡野鳥等か ら高病原性鳥インフルエンザウイ ルス（H5N6亜型）が検出されてい ます。鳥インフルエンザウイルス は、感染した鳥類やその死体に濃 厚に接触した場合を除いて、日常 生活では人に感染することがない と考えられています。また、これ まで鶏肉や鶏卵を食べることに よって人に感染したという報告は ありません。 死亡または衰弱した野鳥等を発見 した場合は、近づかず、素手で触 らないようにしましょう。触って しまった場合は手洗いとうがいを しましょう。死亡野鳥と接触した 後で、発熱などインフルエンザを 疑う症状が出た場合は、医師にそ の旨を伝え受診して下さい。,,,,
ＲＳウイルス感染症,,2,,,,2,,3,,1,,,8,,,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,2,,1,,,,7,,,3,,13,,,,4,2,,,2,,,,,2,,1,,,,1,,,,,,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,1,4,2,,8,,1,,,7,,23,1,,,2,1,,,2,,,,,3,,3 3,,,2,2,,,,3,,,1,,,,,,,
感染性胃腸炎,,20,4,15,6,18,8,20,,65,19,,175,3,,5,15,17,,,14,,20,,,14,,12 12,,,11,5,,,,17,,7,23,,,,,,,
水痘,,3,,,1,4,,1,,,10,,19,2,,,1,1,,,2,,2,,,1,,5 1,,,,,,,,4,,,,,,,,,,
手足口病,,,,,,,,2,,1,,,3,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,1,,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
突発性発疹,,4,,1,,,1,1,,3,8,,18,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,6,4,1,,5,6,,,7,12,,41,,,1,1,3,,,1,,5,,,5,,9 5,,,5,3,,,,3,,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,,,5歳,,6歳 7歳,,,8歳,9歳,,,,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,1,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○カンピロバクター腸炎（推定感染原因：すき焼き）１例：５～９歳女（６１０２） 灘 区○マイコプラズマ感染症（インフルエンザA型との合併）１例：５～９歳女（６２０２） 北 区○マイコプラズマ感染症１例：０～４歳女（６５０５） 垂水区○カンピロバクター腸炎１例：年齢・性別不明（６８０４） 西 区○カンピロバクター腸炎１例：２０代男（６９０１） 西 区○アデノウイルス感染症１例：０～４歳男（６９０２） 西 区○アデノウイルス感染症１例：年齢・性別不明（６９０３） 西 区○カンピロバクター腸炎１例：年齢・性別不明（６９０３）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,【 【,,,,,【結 【市 【感 h,結核 市内 イ 感染 ttp,核,核に関,,関 感染 フル レベ 閉 週： 発生 ww.,関する情 染症の ルエンザ ベル（3 閉鎖等の ：学級閉 生動向 .city.ko,,情 の状,情報 状況 ザの 0人 の状 閉鎖 調査 e.lg,報】 今 況】 定点あ 人）に近づ 状況：学級 鎖1校、学 査事業実 g.jp/life/h,,今週の結 たり患者数 づいていま 級閉鎖54校 学年閉鎖1 実施要綱】 health/infe,,結核,,,核届出 数は急増 ます（先 校、学年 校、欠席 tion/tre,出患者数は,,,は０人です。 人となり、 。 欠席者延べ825名 4名） kou110729.pdf,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,インフルエンザの定点あたり患者数は急増して24.7人となり、 警報レベル（30人）に近づいています（先週：11.0人）。 学級閉鎖等の状況：学級閉鎖54校、学年閉鎖2校、欠席者延べ825名,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,（先週：学級閉鎖1校、学年閉鎖1校、欠席者延べ114名）,,,,,,,,,,,,,,,,,,,,,,,,,
