
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,～59歳,,～69歳,～79歳,
インフルエンザ,,5,5,23,3,14,2,2,10,16,80,,1,3,4,5,12,7,8,6,1,3,3,5,4,2,,8,1,,5,2,

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,3,,,1,1,,3,1,6,15,2,3,6,3,1,,,,,,,,
咽頭結膜熱,,,,,,,1,,3,3,7,,,1,2,2,2,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,13,1,,4,1,3,12,2,36,,,5,3,6,8,6,2,2,2,,1,
感染性胃腸炎,,13,14,9,5,29,7,34,74,29,214,1,14,26,31,23,22,25,5,12,8,5,16,7
水痘,,3,,1,,1,,,,2,7,,,,,,,,4,,2,1,,
手足口病,,1,1,,,,,1,,,3,,,1,1,,1,,,,,,,
伝染性紅斑,,,,,,,1,,1,,2,,,,1,,1,,,,,,,
突発性発疹,,5,1,,,1,1,3,3,3,17,,7,7,2,1,,,,,,,,
百日咳,,,,,,2,,1,,,3,1,,,,,,,,,1,,,
ヘルパンギーナ,,2,,1,,,,,,1,4,,,1,2,,,,,1,,,,
流行性耳下腺炎,,4,1,2,,6,3,4,3,9,32,,,1,1,4,2,4,2,6,3,5,3,
,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,～59歳,,～69歳
急性出血性結膜炎,,,,,,,,,,2,2,,,,,,,,,1,,,,,,1,,,,,
流行性角結膜炎,,,,,1,,1,,1,,3,,,,,,,,,,,,,,1,1,,,,,1
