神戸市感染症発生動向調査週報 平成28年2月3日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第４週 2016年 1月 25日 ～ 2016年 1月 31日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,96,51,32,48,146,62,74,179,189,877,2,9,23,36,37,64,66,73,48,56,64,161,36,38,56,53,30,13,10,2
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,インフルエンザの定点当たり患者 報告数が18.27人となり、注意報 レベル(同10人以上)を超えまし た。例年通りであれば今後４週間 以内に流行のピークを迎えます。 すべての区で急激に患者が増加し 学校や幼稚園でも連日学級閉鎖が 報告されています。 年齢ごとの患者の割合は、5歳以 下27％、6～9歳27％、10-14歳 18％、14歳以下の合計72％と小児 が中心ですが、20～40歳代の合計 が16%と一部の年齢層における大 人の感染も拡大しています。 こまめな手洗い・うがい、マスク 着用、室内の十分な湿度保持（50 ～60％）、など感染予防に努め、 インフルエンザかなと思ったら早 めに休むことを検討しましょう。,,,,
ＲＳウイルス感染症,,,3,,,,1,6,5,15,4,2,5,2,1,1,,,,,,,,,,,,,,
咽頭結膜熱,3,2,,,,1,4,1,,11,,2,2,,2,,1,2,,1,,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,12,4,4,,8,1,8,14,29,80,,1,2,1,8,8,13,7,10,10,6,11,,3,,,,,,
感染性胃腸炎,14,2,6,8,43,11,42,51,21,198,3,7,34,20,16,18,13,5,10,7,6,21,16,22,,,,,,
水痘,1,1,,,2,,1,,4,9,,,2,1,,1,1,,,3,1,,,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,2,1,,9,,1,4,3,20,,,,2,,4,3,3,4,3,,1,,,,,,,,
突発性発疹,4,,,,,1,2,3,1,11,,8,2,1,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,1,,,,11,,,1,1,14,,,,1,2,3,3,1,1,1,1,1,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区○マイコプラズマ感染症１例：５～９歳男（６３０１） 垂水区○病原性大腸菌感染症１例：性別・年齢不詳（６８０４） 垂水区○マイコプラズマ感染症３例：年齢・性別不詳（６８０４）,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は５人（うち潜在性結核感染症０人）です。 【市内の感染症の状況】 　 インフルエンザの定点あたり患者数は18.27人で 　　　 注意報レベルを超えました。(先週は8.54人） 【感染症発生動向調査事業実施要綱】 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,
〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけます。 【感染症発生動向調査事業実施要綱】 　神戸市　発生動向　〔検索〕 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　または、神戸市ホームページ上段のバナーを以下のとおりたどってください。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　（トップページ ＞ くらし・手続き ＞ 健康・医療 ＞ 感染症・予防接種 ＞ 感染症発生動向） 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
