
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,14,5,4,2,41,4,9,,34,15,,128,1,,1,2,,,6,3,11,10,6,13,4,27,2,7,7,15,3,5,5

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,1,2,2,,11,,1,,2,6,,25,2,6,9,6,,,2,,,,,,,,
咽頭結膜熱,,,2,,,1,1,1,,2,1,,8,,1,,2,,,,,1,2,2,,,,
Ａ群溶血性レンサ球菌咽頭炎,,10,2,1,1,1,1,4,,1,24,,45,,,,1,,,1,4,7,5,7,8,3,7,1
感染性胃腸炎,,68,63,26,25,105,41,107,,145,100,,680,3,14,46,73,,,57,84,79,70,66,30,34,60,7
水痘,,6,1,,,9,4,8,,3,10,,41,,,1,1,,,,5,14,13,1,1,,4,1
手足口病,,1,1,,3,3,3,,,2,2,,15,,,3,4,,,,1,5,1,1,,,,
伝染性紅斑,,1,3,,,,,,,,,,4,,,,,,,,1,2,,,,,1,
突発性発疹,,2,1,1,,1,,2,,2,1,,10,,4,4,1,,,1,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,1,,,,,,1,,,,,2,,,1,,,,,,,,,,,,1
流行性耳下腺炎,,14,4,5,4,11,4,14,,4,5,,65,,,4,3,,,2,13,8,7,7,8,2,8,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,,3,,,4,,,,,,,,1,,,,,,,,,3,,,
