
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,1,2,3,,,,,,,,,,,,,1,1,1,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,3,,1,,,2,5,3,13,27,2,6,6,7,4,2,,,,,,,,,
咽頭結膜熱,1,5,,,,,1,2,1,10,,1,3,1,1,1,1,1,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,2,2,,,,1,2,,11,18,,,2,,2,1,4,2,3,1,,3,,,
感染性胃腸炎,4,4,8,7,13,8,17,50,16,127,3,10,18,17,15,8,6,8,6,1,4,12,4,15,
水痘,1,1,,,2,,5,,1,10,,,,,1,1,3,4,,1,,,,,
手足口病,2,,,,,,,3,1,6,1,1,1,,,1,1,,1,,,,,,
伝染性紅斑,1,,,,,,2,,,3,,,,,,1,,1,1,,,,,,
突発性発疹,4,,1,,1,,1,2,2,11,1,3,6,1,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,3,1,2,,1,,2,2,1,12,,2,1,4,2,2,,1,,,,,,,
流行性耳下腺炎,17,2,,7,13,6,7,5,6,63,,,3,3,8,9,5,8,11,5,4,4,,3,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,2,3,,,,1,1,,,,,,,,,,,1,,
