
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,2,1,,,,,,,,3,,,,,,,,,,,,1,,2,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,1,1,,,,4,,5,,11,,1,4,3,,,1,,1,,,,
Ａ群溶血性レンサ球菌咽頭炎,5,6,4,,2,5,5,1,8,36,,,,2,5,9,2,3,3,6,1,2,1
感染性胃腸炎,32,9,19,8,35,10,55,100,15,283,2,23,54,22,32,26,22,15,13,14,8,26,1
水痘,,,,,2,,,2,4,8,,,1,,2,,2,2,1,,,,
手足口病,2,,1,,,,,3,2,8,,,5,2,1,,,,,,,,
伝染性紅斑,2,,2,2,2,,1,2,,11,,,,,1,1,2,2,3,1,,1,
突発性発疹,2,1,1,,,,3,7,,14,,8,5,1,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,2,,,,1,1,6,5,,15,,,5,6,2,1,,,1,,,,
流行性耳下腺炎,4,2,2,,16,,3,8,5,40,,,,5,6,5,5,11,3,1,1,3,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
