
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,1,,,,,,,1,,,1,,,,,,,,,,,,
咽頭結膜熱,6,,,,,1,2,2,,11,1,,4,2,1,2,,,,,,1,,,
Ａ群溶血性レンサ球菌咽頭炎,1,4,,,,1,1,4,10,21,,,2,1,2,2,3,3,,1,3,3,1,,
感染性胃腸炎,8,5,4,7,12,8,23,48,13,128,1,16,22,7,8,12,8,8,7,6,4,18,2,9,
水痘,,1,,,2,,1,,5,9,,,,,2,4,3,,,,,,,,
手足口病,1,,4,2,5,,,5,3,20,,2,5,5,3,1,1,,,1,1,1,,,
伝染性紅斑,,,,,1,2,,1,,4,,,,,,1,2,1,,,,,,,
突発性発疹,2,,,,,,2,2,1,7,,4,2,1,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,9,5,2,3,8,2,13,22,7,71,,5,24,14,8,6,3,4,3,1,,1,1,1,
流行性耳下腺炎,7,,2,1,12,1,7,5,6,41,,,1,2,2,5,7,5,5,4,4,6,,,

,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,1,,,,,,,2,,3,,,,,,,,,,,,,,,1,1,,1
