,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年8月21日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 32週 平成29年8月7日 ～ 平成29年8月13日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,,,,,～12ヶ月,,,1歳,,,2歳,,,,3歳,4歳,5歳,,,6歳,,,7歳,8歳,9歳,,,～14歳,～19歳,,,～29歳,,～39歳,～49歳,,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,,,,,～12ヶ月,,,1歳,,,2歳,,,,3歳,4歳,5歳,,,6歳,,,7歳,8歳,9歳,,,～14歳,～19歳,,,20歳～,,,RSウイルス感染症の定点あたり の患者数が国・県ともに増加して おり、神戸市でも過去10年の同時 期と比べて、一番多くなっていま す。また、神戸モデルにより、い くつかの乳幼児施設からも患者発 生報告がありました。 冬が流行期のRSウイルス感染症 は、2～8日の潜伏期の後、上気道 症状（鼻汁、咳嗽など）を発症し ます。乳幼児において、生後1歳 までに半数以上が、2歳までにほ ぼ100％が初感染を受け、うち、 30～40％が下気道炎に至ます。通 常は予後良好ですが、3％が重症 化します。発症後は、1週間～10 日間症状がみられ、この期間に気 道分泌物から接触感染・飛沫感染 します。 流行期ではありませんが、発生 動向に注目し、手洗い、うがいを 励行し、予防や感染拡大防止に努 めましょう。,,,,,
ＲＳウイルス感染症,,,,,,5,,5,,,3,,,2,15,4,34,,,,,,,,,,,6,,,22,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,3,,,,1,1,,,,2,,7,,,,,,,,,,,,,,5,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,1,2,,,,1,,2,5,3,11,25,,,,,,,,,,,,,,,,,3,,,,1,3,4,,,3,,,5,,,,,4,,,,2,,,,,,,,
感染性胃腸炎,,,,,,10,3,5,,3,10,,11,23,42,11,118,,,,,,,,,,,8,,,26,,,19,,,,8,7,7,,,8,,,1,6,1,,,8,3,,,16,,,,,,,,
水痘,,,,,,2,,,,,3,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,1,,,2,,,,,,,,,,,,
手足口病,,,,,,29,1,18,,2,11,,8,16,29,21,135,,,,,1,,,,,,6,,,41,,,24,,,,21,17,4,,,4,,,4,6,1,,,1,,,,5,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,3,,1,,,1,,,,,1,6,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,3,3,2,,1,7,,3,14,10,5,48,,,,,1,,,,,,2,,,10,,,11,,,,4,8,4,,,5,,,1,1,,,,1,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,2,1,,,5,,,,3,9,20,,,,,,,,,,,,,,,,,,,,,1,2,5,,,4,,,3,1,,,,2,,,,2,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,神戸モデルについて｜ILI情報センター,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,,,,,～12ヶ月,,,1歳,,,2歳,,,,3歳,4歳,5歳,,,6歳,,,7歳,8歳,9歳,,,～14歳,～19歳,,,～29歳,,～39歳,～49歳,,～59歳,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,他の感染症情,,,情報】,】 【,,,,,【市,,市内の感染,,,,,,,,,,,,,,,】,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症1例：1歳 女 北 区○細菌性腸炎（病原性大腸菌O1）1例：0歳5ヶ月 女 垂水区○細菌性腸炎（病原性大腸菌O1）1例：年齢性別不明 ○帯状疱疹1例：年齢不明 女 西 区○細菌性腸炎（病原性大腸菌O8）1例：14歳 女,,,,,,,,,,,,,,,,,今週の手足口病の定点あたり患者数は4.3人となり、警報レベル（定点あたり5人以上）を下回りました。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
