
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,～79歳
インフルエンザ,,14,23,17,10,16,12,26,47,51,216,1,3,10,13,,5,,10,,,6,,10,,9,8,10,36,,10,20,,,13,10,,12,15,,12

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,20歳～,,,
ＲＳウイルス感染症,,2,,,,,,2,3,,7,4,,,2,,,,,,,,,1,,,,,,,,,,,
咽頭結膜熱,,1,,,,,,2,5,,8,,1,,3,,2,,,,,1,,,,,,,,,1,,,,
Ａ群溶血性レンサ球菌咽頭炎,,4,1,5,,10,,,7,9,36,,,2,1,,3,,8,,,2,,8,,3,3,1,3,,1,1,,,
感染性胃腸炎,,7,10,8,5,26,14,36,67,21,194,1,3,25,26,,12,,27,,,18,,16,,10,7,3,18,,3,25,,,
水痘,,,,2,,,,,1,2,5,,,,,,,,,,,2,,,,1,2,,,,,,,,
手足口病,,1,,,,,,,6,,7,,,,1,,4,,,,,,,,,2,,,,,,,,,
伝染性紅斑,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,
突発性発疹,,4,1,1,,,,2,1,5,14,,5,6,3,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,2,,,,,,
流行性耳下腺炎,,4,1,1,,2,,8,3,6,25,,,,,,1,,6,,,6,,4,,3,2,1,2,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
