
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,7,,5,,,,1,1,4,18,,4,10,4,,,,,,,,,,,
咽頭結膜熱,2,1,,,,2,1,1,,7,,,2,,1,2,1,,,,,,,1,
Ａ群溶血性レンサ球菌咽頭炎,7,4,1,,3,,,,7,22,,,,1,2,1,2,5,2,2,1,3,2,1,
感染性胃腸炎,13,10,4,6,14,5,19,42,23,136,4,10,24,12,7,10,11,7,6,4,6,20,4,11,
水痘,,,,1,2,3,,,3,9,,,2,1,3,,1,,,1,,1,,,
手足口病,3,,,,,1,1,4,1,10,,3,4,2,,,,,,,1,,,,
伝染性紅斑,,1,,,1,1,,,,3,,,,1,,1,,,1,,,,,,
突発性発疹,4,,2,2,1,1,2,6,1,19,3,4,10,1,1,,,,,,,,,,
百日咳,,,,,,,,,2,2,,1,1,,,,,,,,,,,,
ヘルパンギーナ,3,,1,,,,,3,,7,,1,2,3,1,,,,,,,,,,
流行性耳下腺炎,13,1,3,1,9,4,10,4,2,47,1,,1,3,4,5,10,3,4,2,2,9,3,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,1,,,1,,2,,,,,,,,,,,,,,,,,1,1
