
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,23,26,11,20,12,27,43,,59,48,,269,1,,1,12,4,,12,11,8,9,7,,10,6,,40,18,29,17,38,17,12,10

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,1,,,,,,,,2,,,3,1,,1,,,,1,,,,,,,,,,,,
咽頭結膜熱,,1,,,,1,1,3,,,,,6,,,,1,,,1,,1,,,,,1,,1,,1,
Ａ群溶血性レンサ球菌咽頭炎,,5,1,1,,,2,1,,1,11,,22,,,,,,,2,1,2,2,4,,1,1,,4,1,4,
感染性胃腸炎,,6,5,4,2,13,3,24,,36,20,,113,,,5,11,8,,7,4,12,14,9,,6,1,,9,3,24,
水痘,,,3,,2,4,,4,,,6,,19,,,1,,1,,2,,3,4,2,,2,2,,2,,,
手足口病,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,1,1,1,,,,1,,1,1,,6,,,3,2,,,,1,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,8,2,1,3,2,9,4,,4,10,,43,,,,1,4,,2,3,10,7,8,,4,,,3,,1,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
