
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,1,2,1,4,,3,1,,,,,,,,,,
咽頭結膜熱,4,,,1,,,1,1,1,8,,,2,2,1,2,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,2,3,1,,,1,2,1,4,14,,,,1,1,4,1,3,,1,,2,
感染性胃腸炎,11,2,4,3,13,5,16,48,11,113,1,9,22,11,7,15,7,6,3,6,1,9,3
水痘,,1,,,1,,1,1,1,5,,,1,,,1,1,1,1,,,,
手足口病,,,,,1,,,1,1,3,,,,1,1,,,1,,,,,
伝染性紅斑,1,,,,,1,,,1,3,,,,,,,2,,,,,1,
突発性発疹,,,1,,,,,2,3,6,,2,4,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,6,,1,2,4,1,10,6,6,36,,3,12,5,3,4,4,1,1,1,1,1,
流行性耳下腺炎,11,,4,,3,2,3,3,6,32,,,,,,7,8,1,5,7,1,3,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
