
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,42,13,33,17,59,15,52,,121,63,,415,1,3,15,16,,24,25,17,19,16,,16,24,,75,12,22,39,30,18,19,16

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳
ＲＳウイルス感染症,,1,,,,,,2,,,,,3,,1,,2,,,,,,,,,,,,
咽頭結膜熱,,,,,,1,2,,,4,1,,8,,1,2,5,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,6,5,,3,,4,,3,24,,45,,,1,3,,3,8,6,4,5,,4,6,,4,1
感染性胃腸炎,,11,6,14,6,27,15,11,,62,14,,166,2,6,22,11,,14,16,19,11,5,,4,2,,30,6
水痘,,,,,1,,,,,,1,,2,,,,,,,,1,,,,,,,,1
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,1,,,,1,,,,,,2,,,,,,,,1,,,,,,,1,
突発性発疹,,4,1,1,,1,,2,,1,4,,14,,7,5,2,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,
流行性耳下腺炎,,4,3,,1,4,5,2,,5,11,,35,,,,1,,2,3,7,7,8,,1,1,,4,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,1,,,,,1,1,,,,,3,,,,,,,,,,,,,,,,,1,2,,,
