
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,196,88,127,76,294,122,234,315,459,"1,911",5,12,60,65,79,111,138,135,157,129,125,390,51,58,126,131,65,54,15

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,1,,,,1,,2,4,4,12,2,3,4,3,,,,,,,,,
咽頭結膜熱,1,1,1,,,,3,,,6,,3,,,1,,,,1,,,1,
Ａ群溶血性レンサ球菌咽頭炎,5,7,3,1,4,2,4,14,27,67,,1,1,3,2,7,12,9,3,10,5,14,
感染性胃腸炎,16,9,11,11,45,11,37,52,17,209,4,7,24,19,25,13,14,11,8,5,11,32,6
水痘,1,,,,1,,,3,5,10,,,3,2,2,1,,,1,,,,1
手足口病,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,1,2,1,,3,,,6,5,18,1,,2,2,2,4,2,4,1,,,,
突発性発疹,2,,1,,,,1,3,,7,,3,4,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,1,2,,,5,,,1,5,14,,,,,1,3,2,3,1,2,1,1,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,2,,1,,,,,,,3,,,,,,,,,,,,,,,,1,1,1
