"神戸市感染症発生動向調査週報 平成29年4月12日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第14週 2017年 4月 3日 ～ 2017年 4月 9日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,,～69歳,～79歳,,80歳～
インフルエンザ,,11,10,11,6,8,2,8,22,27,105,,2,7,4,,4,,8,,,6,,9,,2,1,4,7,,6,8,,8,9,7,,5,7,,1
"報告定点数 31 ヶ所 　（内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,20歳～,,,全国で麻しんが散発しています （現在、国内土着株のD5型の発生 はなく、全て海外からの持ち込み です）。麻しんは空気感染し、感 染力がきわめて強く、免疫を持っ ていない人が感染するとほぼ 100％発症します。手洗い、マス クのみでの予防はできません。ワ クチンが有効な予防法です。,,,,,,
ＲＳウイルス感染症,,,,,,,,1,,4,5,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,1,1,4,,6,,,4,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,5,,2,,1,14,3,13,3,41,1,,2,6,,5,,6,,,5,,1,,2,2,2,3,,,6,,,,,,,,,
感染性胃腸炎,,12,9,8,2,27,6,45,51,28,188,,7,26,27,,21,,16,,,17,,15,,14,7,3,19,,3,13,,,,,,,,,
水痘,,6,,,,1,,,7,,14,,,,2,,,,1,,,5,,5,,,,,,,1,,,,,,,,,,
手足口病,,,2,,,,,,1,,3,,,1,1,,,,,,,1,,,,,,,,,,,,,定期予防接種の対象者（第1期：1 歳～2歳未満、第2期：小学校入学 前の1年間）は、確実に2回、ワク チンを接種しましょう。 また、予防接種を受けたことがな く、麻しんにかかったことがない 人には、ワクチン接種をおすすめ します。 典型的な3症状(発熱・発疹・カタ ル症状)や、予防接種歴・海外渡 航歴などから、麻しん疑い患者を 診察した医師は、速やかに保健所 までご連絡をお願いします。,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,1,1,1,,1,4,1,9,,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,4,,,,,,,,,4,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,3,2,,,3,2,5,2,7,24,,,,2,,,,3,,,6,,2,,4,1,2,4,,,,,,,,,,,,
"　 報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,,～69歳,70歳～,,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ロタウイルス感染症３例：０～４歳男女（６１０１） 中央区○アデノウイルス感染症１例：０～４歳女（６３０１） 中央区○ロタウイルス腸炎１例：０～４歳男（６３０１） 北　 区○カンピロバクター腸炎２例：０～４歳女、１０代女（６５０５） 北　 区○ロタウイルス腸炎１例：０～４歳女（６５０５） 垂水区○ＲＳウイルス感染症１例：年齢・性別不明（６８０４） 垂水区○ヒトメタニューモウイルス感染症１例：年齢・性別不明（６８０４） 西　 区○ロタウイルス感染症１例：年齢・性別不明（６９０３）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
