神戸市感染症発生動向調査週報 平成28年7月20日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第28週 2016年 7月 11日 ～ 2016年 7月 17日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,,先週に引き続き腸管出血性大腸 菌感染症(0157等)の報告があり、 7月4日～7月15日で10名の患者が 発生しています。O157等の場合、 野外バーベキューや家で肉（ホル モン等含む）を十分に加熱せず喫 食したため感染する例がしばしば みられます。本菌は50個程度の少 量菌数で感染し、感染力が非常に 強いことから家族内感染も十分に 注意する必要があります。潜伏期 間は2～14日(平均3～5日)、主な 症状は激しい腹痛や水様便、血便 などです。菌は加熱（75℃・1分 以上）や市販の消毒薬（アルコー ル、逆性石けん）で死滅します。 調理や食事前には必ず手を洗い、 肉は十分に加熱し、焼く箸と食べ る箸は必ず分けましょう。 夏に流行するヘルパンギーナが 急増しています。こまめな手洗い やうがい、タオルの共用は避ける など感染予防に心がけましょう。,,,,
ＲＳウイルス感染症,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,3,3,,,,,,,,5,1,12,,,1,,,,2,1,1,2,3,,,,,1,,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,3,7,,3,,,4,1,1,3,15,37,,,1,2,,,3,5,1,6,3,,7,2,,6,,1,,,,,,
感染性胃腸炎,,5,10,,2,,10,17,4,36,71,11,166,1,7,23,16,,,12,18,18,10,3,,10,3,,17,6,22,,,,,,
水痘,,1,,,,,,2,,1,1,,5,,,1,,,,,1,3,,,,,,,,,,,,,,,
手足口病,,3,,,2,,1,,2,1,13,4,26,,3,3,7,,,5,4,,2,1,,,,,1,,,,,,,,
伝染性紅斑,,1,,,,,,,1,,1,3,6,,,1,,,,2,,1,2,,,,,,,,,,,,,,
突発性発疹,,4,1,,1,,1,1,3,1,1,2,15,3,9,3,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,57,,,14,,3,14,8,36,39,14,185,,26,47,37,,,22,18,22,4,2,,2,,,3,,2,,,,,,
流行性耳下腺炎,,5,1,,3,,1,8,1,9,1,7,36,,,1,2,,,3,8,6,5,5,,2,4,,,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
