
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,2,,,1,,3,,,,,,1,,,,1,,1,,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,7,1,2,1,6,1,4,17,8,47,7,10,12,11,5,,,,,,,1,,1,
咽頭結膜熱,,1,,,1,,,2,1,5,,,,,3,,,1,,,1,,,,
Ａ群溶血性レンサ球菌咽頭炎,3,2,,,1,,4,,11,21,,,,,2,,3,2,6,2,1,4,1,,
感染性胃腸炎,4,3,3,8,18,5,23,48,16,128,3,6,13,11,11,9,13,8,7,10,8,13,1,15,
水痘,1,1,,,,2,2,2,1,9,,,1,,2,2,,,,2,,,1,1,
手足口病,1,2,,1,3,,4,2,,13,,2,4,2,,2,1,,1,,,1,,,
伝染性紅斑,,1,,,,,,,,1,,,,,,,,,,,1,,,,
突発性発疹,1,1,,,1,,1,1,3,8,,5,2,,,1,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,4,,1,,2,,,2,1,10,,,5,,3,,,2,,,,,,,
流行性耳下腺炎,18,1,5,4,5,6,11,6,4,60,,,,5,6,7,11,9,7,7,5,3,,,

,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,
