
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,52,49,15,23,51,25,67,215,140,637,4,6,14,27,23,24,29,41,31,34,53,160,21,23,39,47,25,16,12

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,,1,1,2,1,,,,1,,,,,,,,
咽頭結膜熱,1,,,,,,,4,2,7,,1,,1,1,2,1,,,1,,,
Ａ群溶血性レンサ球菌咽頭炎,5,1,4,,,,4,9,7,30,,1,,2,1,5,7,2,1,3,,4,1
感染性胃腸炎,3,10,7,3,17,5,21,45,8,119,1,4,13,15,13,11,13,8,6,2,3,11,3
水痘,,,,3,2,,3,,1,9,,,1,,1,,4,2,,,,1,
手足口病,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,2,,,4,,,,2,8,,,,1,2,2,1,,,1,,1,
突発性発疹,2,,,,,,1,2,,5,,1,4,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,1,,,,,,,,,1,,,,,,,,,,,,1,
流行性耳下腺炎,2,,,,6,,,,4,12,,,,,1,,3,1,5,1,1,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
