
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,,4歳,5歳,,6歳,7歳,,8歳,9歳,,,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,～79歳
インフルエンザ,,50,37,33,24,46,43,81,,115,101,,530,1,,5,20,30,,,25,,22,28,,20,22,,23,12,,,53,,45,55,,,44,43,,24,32,20

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,,6歳,7歳,,8歳,9歳,,,～14歳,,～19歳
ＲＳウイルス感染症,,,,1,,1,,4,,3,2,,11,2,,1,3,2,,,2,,1,,,,,,,,,,,,
咽頭結膜熱,,1,1,2,,,1,4,,2,,,11,,,,5,,,,,,,2,,2,,,1,,,,1,,
Ａ群溶血性レンサ球菌咽頭炎,,1,2,2,1,2,,5,,5,24,,42,,,,3,3,,,2,,6,2,,4,4,,2,4,,,4,,
感染性胃腸炎,,17,16,6,4,16,12,9,,37,21,,138,1,,5,9,11,,,7,,12,15,,14,7,,9,4,,,22,,3
水痘,,,1,1,2,6,2,2,,2,3,,19,,,,3,2,,,,,1,2,,4,1,,2,1,,,2,,1
手足口病,,3,,1,,1,,,,,,,5,,,1,,,,,1,,,1,,1,,,,1,,,,,
伝染性紅斑,,1,2,,,,,,,,,,3,,,,1,,,,,,1,1,,,,,,,,,,,
突発性発疹,,,1,1,,,,3,,2,4,,11,,,8,3,,,,,,,,,,,,,,,,,,
百日咳,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,12,3,2,2,9,1,3,,3,13,,48,,,1,1,3,,,5,,2,3,,6,5,,4,4,,,12,,

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,,4歳,5歳,,6歳,7歳,,8歳,9歳,,,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
