神戸市感染症発生動向調査週報 平成29年4月25日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 16週 平成29年4月17日 ～ 平成29年4月23日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,,～59歳,,～69歳,～79歳,80歳～
インフルエンザ,,9,11,15,3,10,5,3,17,10,83,,,4,4,1,2,6,5,10,6,3,2,10,7,3,10,,5,,2,,,1,2
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,,ゴールデンウィークなど、野外 活動で肉類を食べる機会が増える 時期です。加熱不十分による、細 菌性食中毒に注意しましょう。 　腸管出血性大腸菌による食中毒 では、喫食から2日～十数日後、 カンピロバクターによる食中毒で は、喫食から1日～7日後に腹痛、 下痢（血便を含む）、発熱などの 症状があり、重症化による後遺症 や死亡例も報告されています。 　また、国の調査では、生食用の 鶏肉の37％からカンピロバクター の検出が報告されており、新鮮で あれば加熱不十分でも安心という わけではありません。 　さらに、これらの患者や保菌者 の便からの二次感染もしばしば起 こります。 　焼肉やバーベキューでは、生肉 を取る専用の箸やトングを使い、 中心部の色が変わるまで十分に加 熱して食べましょう。,,,,,,
ＲＳウイルス感染症,,1,,,,,,8,,7,16,,2,2,8,4,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,2,,1,,,1,2,10,1,17,,,2,7,,5,2,,,,,1,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,3,11,7,,5,2,2,9,13,52,,,1,2,5,8,9,7,3,3,4,3,4,2,1,,,,,,,,,
感染性胃腸炎,,10,2,5,9,26,5,42,55,24,178,,4,14,33,22,19,24,11,9,12,6,2,8,2,12,,,,,,,,,
水痘,,4,1,,,2,2,1,1,1,12,,,,,1,1,2,3,1,3,1,,,,,,,,,,,,,
手足口病,,1,1,1,,,,1,2,3,9,,,,3,2,,3,1,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,
突発性発疹,,3,1,2,1,,2,,6,2,17,,3,10,3,1,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,2,,,,,,,,,2,,,,1,,,,,,,,,1,,,,,,,,,,,
流行性耳下腺炎,,3,1,,,5,3,2,1,3,18,,,,,,3,2,1,3,1,5,,2,,1,,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,神戸市：食肉の生食はやめましょう！,,,,,,
