"神戸市感染症発生動向調査週報 平成29年3月15日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第10週 2017年 3月 6日 ～ 2017年 3月 12日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,～79歳,80歳～
インフルエンザ,,36,21,18,16,53,11,40,58,43,296,2,4,11,23,,14,,17,,,10,,14,,18,13,14,49,,16,12,,,30,14,,15,12,,3,5
"報告定点数 31 ヶ所 　（内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,20歳～,,,,　第10週、医療機関から新生児の 百日咳の報告があり、患者はチア ノーゼを生じ入院しました。姉 （8歳、予防接種歴不明）からの 感染が考えられます。 　百日咳はいずれの年齢でもかか りますが、特に生後12か月以下で は特有の咳症状を示さず無呼吸発 作を起こすなど重症化しやすいと されています。また、近年、成人 の患者が増加しており、ワクチン 未接種児への感染原になることが 問題になっています。 　感染経路は飛沫感染・接触感染 で、潜伏期間は7-10日です。普通 のかぜ症状で始まり、次第に咳が 激しくなり、特徴である発作性け いれん性の咳となります。全経過 約2～3か月で回復します。 　生後3か月になったら速やかに 定期予防接種を受けましょう。,,,,,,
ＲＳウイルス感染症,,,,,,,,1,,1,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,1,,,4,1,6,,,4,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,7,3,5,1,5,,5,3,14,43,,,1,2,,3,,8,,,2,,4,,4,7,2,7,,1,2,,,,,,,,,,
感染性胃腸炎,,6,7,16,5,21,7,24,70,21,177,1,7,21,21,,19,,13,,,21,,19,,12,6,6,16,,5,10,,,,,,,,,,
水痘,,1,1,,,,,1,1,2,6,,,1,,,,,,,,,,,,1,3,,,,,1,,,,,,,,,,
手足口病,,1,,,,,,,1,,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,2,2,1,,1,,2,2,,10,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,4,7,,,5,1,3,4,3,27,,,,4,,5,,5,,,2,,2,,3,3,1,1,,,1,,,,,,,,,,
"　 報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,2,,,,,2,,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,1,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灘　 区○マイコプラズマ感染症１例：５～９歳女（６２０２） 中央区○ロタウイルス・アデノウイルス腸炎（重感染）１例：０～４歳女（６３０１） 中央区○カンピロバクター腸炎３例：５～９歳男、１０代女（６３０１） 北　 区○アデノウイルス感染症５例：０～４歳男女、５～９歳男女（６５０５） 北　 区○ロタウイルス腸炎１例：０～４歳女（６５０５） 垂水区○ロタウイルス感染症６例（うち２例は兄弟）：０～４歳男女、５～９歳男女（６８０２） 西　 区○アデノウイルス感染症１例：０～４歳男（６９０２） 西　 区○マイコプラズマ肺炎２例：０～４歳女、２０代女（６９０５）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,【 【 　 　 〔,,,,【結核 【市内 ・イ 　　　で ・後 　　　が ・昨 （イン 〔お知 　神,核 内 イ で 後 が 昨,核に関 内の感染 インフル です。 後天性 があり 昨年に ンフルエ 知らせ〕 神戸市　,,関 染 ル 性免 り、全 に引 エン 　バ 　発,関する情 症の状 エンザ 免疫不全 全て男性 引き続き ンザ定点 バックナ 発生動向,,情 状況 の 全 性 き、 点機 ナン 向,情報 況】 の定 全症 性、う 、流 機関 ンバ 　〔,報】 定点 候 うち 流行 関か バー 検,】　　今 点あたり 群の届 ち11例 行性耳 から報告 ーは神戸 索〕,今週の結核 り患者数は 6 届出が2例あ 例は同性間の 下腺炎の患 告された迅速 戸市のホーム 「ILI情報,,核届出 6.2人（先 ありました の性的接 者数が 速キット陽 ムページ 報センター,出 先 た 接 が例 陽 ジか ー」,,,,は０人です。 と減少しました。5週連続の減少 例の届出（HIV 8例、AIDS 8例) 推定されました。 い状況が続いています。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出患者数は０人です。 先週 8.7人）と減少しました。5週連続の減少 た。昨年は16例の届出（HIV 8例、AIDS 8例) 触が原因と推定されました。 例年より多い状況が続いています。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基幹定点（市内 3ヶ所）からの報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A　型,,,,B　型,,,をクリック,,
　69人の報告があり、うち1人（70歳代）がICU、5人（15～19歳1人、70歳代1人、80歳以上3人）が 頭部CT検査等（頭部CT・頭部MRI・脳波検査）を利用した。人工呼吸器の利用はなかった。 　年齢内訳は15～19歳2人、30歳代1人、40歳代5名、50歳代3人、60歳代11人、70代24人、80歳 以上23人であった。　※2016年9月5日～2017年3月12日のインフルエンザによる入院患者,,,,,,,,,,,,,,,,,ンフルエンザ定点機関から報告された迅速キット陽性情報） 知らせ〕　バックナンバーは神戸市のホームページからご覧いた 神戸市　発生動向　〔検索〕 「ILI情報センター」ホームページ,,,,,,,,,,,,,,,,238,,,,20,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ただけます。 ジを開設しました！詳細はこちらをクリック,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
