
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,,～59歳,～69歳,,～79歳
インフルエンザ,,23,10,7,7,14,10,10,59,54,194,,4,10,8,6,14,4,9,16,12,1,25,9,13,,22,17,,6,6,,9

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,
ＲＳウイルス感染症,,3,,,,,,1,,1,5,1,,4,,,,,,,,,,,,,
咽頭結膜熱,,3,,1,,,,1,3,,8,,1,4,1,,2,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,7,2,4,,3,2,2,4,5,29,,,1,3,,3,7,1,4,1,5,2,,2,,
感染性胃腸炎,,12,9,6,3,22,14,38,76,21,201,1,5,36,24,18,18,15,9,6,6,9,18,5,31,,
水痘,,,,1,,6,1,2,,,10,,,,,1,3,1,4,,1,,,,,,
手足口病,,,1,,,,,1,,,2,,,1,,1,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,3,1,,,1,,5,1,2,13,,5,4,1,1,,1,1,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,7,1,1,,5,2,2,2,8,28,,,,1,1,1,5,3,6,4,3,2,1,1,,

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,,～59歳,～69歳,
急性出血性結膜炎,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,
流行性角結膜炎,,,,,,,2,,1,1,4,,,,,,,,,,,,,,2,,1,,,1,,
