
疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,北,長田,,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,～59歳,,,～69歳,～79歳,
インフルエンザ,,,,,,,,,,,,,,,2,,,,,3,5,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,1,,

疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,北,長田,,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,6,,1,1,,1,1,6,,1,16,2,35,,,,,4,13,,5,,,3,,,3,,,1,1,,1,,1,,1,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,10,,4,5,,,11,2,,4,5,18,59,,,,,1,,,3,,,10,,,9,,,12,10,,2,,5,2,4,
感染性胃腸炎,,,,,,,,,23,,13,12,,9,24,12,,43,96,24,256,,,,1,16,36,,31,,,30,,,24,,,18,11,,19,,12,11,22,8
水痘,,,,,,,,,2,,,1,,,4,,,1,,,8,,,,,,1,,,,,,,,1,,,,3,,,,,,3,
手足口病,,,,,,,,,13,,6,2,,,9,1,,19,12,5,67,,,,1,5,22,,17,,,9,,,8,,,1,2,,,,1,,1,
伝染性紅斑,,,,,,,,,,,,,,,,,,2,,1,3,,,,,,,,,,,,,,1,,,1,1,,,,,,,
突発性発疹,,,,,,,,,,,2,1,,1,,,,2,,4,10,,,,1,4,5,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,1,,,,,,,,,3,3,4,11,,,,,,2,,4,,,1,,,3,,,,1,,,,,,,
流行性耳下腺炎,,,,,,,,,1,,,,,,5,,,1,3,5,15,,,,,,1,,3,,,,,,4,,,3,2,,1,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,北,長田,,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,～59歳,,,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,1,1,,,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,2,1,,,
