神戸市感染症発生動向調査週報 平成29年5月15日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 19週 平成29年5月8日 ～ 平成29年5月14日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,,計,～6ヶ月,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,,,8歳,9歳,～14歳,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,～79歳,80歳～,
インフルエンザ,,,2,4,9,2,3,,10,17,6,,53,,,,1,1,,,,3,3,5,,1,,,2,3,8,4,4,,,4,5,,2,6,,1,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,,計,～6ヶ月,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,,,8歳,9歳,～14歳,～19歳,20歳～,,,,五類感染症（全数把握疾患）に 分類される侵襲性肺炎球菌感染症 の報告数が増加しています（H25 年：23例、H26年：28例、H27年： 34例、H28年：65例）。 H29年も今週までに30例の報告,,,,,,,
ＲＳウイルス感染症,,,1,,2,,,,1,,,,4,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,1,,,,3,2,7,,,13,,4,,5,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,6,4,5,,5,1,11,10,12,,54,,,,5,4,,,5,5,7,5,,6,,,2,6,4,2,3,,,,,,,,,,,
感染性胃腸炎,,,16,7,6,6,27,15,41,97,30,,245,1,15,,43,17,,,24,27,20,15,,10,,,11,11,21,5,25,,,,があり、そのうち、5歳未満が7 例、60歳以上が20例で患者全体の 90％（27例）を占めています。 侵襲性肺炎球菌感染症は、通 常、肺炎を起こす肺炎球菌が髄液 又は血液などの無菌部位に侵入す ることで、髄膜炎や菌血症などを 引き起こし、死亡又は重篤な後遺 症を残すことがあります。 予防として、ワクチン接種が推 奨されています。特に、小児肺炎 球菌ワクチンおよび高齢者肺炎球 菌ワクチンは定期接種であり、接 種費用の助成を受けることができ ます。対象者情報を確認し、でき る限り定期接種の期間内に接種し ましょう。（下記参照）,,,,,,,
水痘,,,5,,1,,3,3,4,,,,16,,1,,1,3,,,,1,5,1,,1,,,1,1,1,,,,,,,,,,,,,
手足口病,,,3,1,2,,,2,,7,2,,17,,2,,4,6,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,
