,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成29年12月5日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 48週 平成29年11月27日 ～ 平成29年12月3日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,9歳,,,,～14歳,,,,～19歳,,,,～29歳,,～39歳,～49歳,～59歳,～69歳,～79歳 80歳～
インフルエンザ,,,,,,2,5,,,,4,,4,2,22,15,54,,,,,,,1,,1,7,,,2,4,2,2,,6,2,2,,,,3,,,,1,,,,,,5,5,4,3,3 1
報告定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,年末年始は、海外へ渡航される 方が多くなります。海外では、日 本で発生していない感染症が流行 していることがあり、注意が必要 です。 渡航先によって、感染する可能 性のある感染症は大きく異なりま すが、蚊を介した感染症が世界的 に多く報告されています。特に熱 帯・亜熱帯地域におけるマラリ ア、デング熱、ジカウイルス感染 症については、海外で感染し、日 本国内で発症した事例（輸入症 例）が確認されています。他に も、中国を中心に鳥インフルエン ザ（H7N9等）の感染も確認されて います。 渡航先で感染症にかからないよ うにするためには、その地域で流 行している感染症の正しい知識と 適切な予防方法を身につけること が重要です。事前に調べおいて、 楽しい旅行にしましょう。,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,9歳,,,,～14歳,,,,～19歳,,,,20歳～,,,,,,
ＲＳウイルス感染症,,,,,,3,,1,,,5,,,4,4,17,34,,,,,4,,13,,6,5,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,2,,,,,1,,,3,3,,9,,,,,1,,,,3,1,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,12,1,6,,,3,,2,4,6,13,47,,,,,,,,,4,3,,,5,5,7,7,,2,6,1,,,,3,,,,1,,,,3,,,,,,
感染性胃腸炎,,,,,,12,11,2,,8,21,,12,30,56,22,174,,,,,,,5,,44,18,,,15,18,9,12,,5,5,5,,,,18,,,,5,,,,15,,,,,,
水痘,,,,,,2,1,1,,2,,,,2,2,2,12,,,,,,,1,,2,,,,,1,3,1,,,1,1,,,,2,,,,,,,,,,,,,,
手足口病,,,,,,2,1,,,,2,,,1,,1,7,,,,,,,,,4,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,1,1,,,,,,1,2,1,2,8,,,,,,,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,1,,,,4,,,,1,13,19,,,,,,,,,,2,,,4,4,3,3,,,1,1,,,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,年末年始に海外へ渡航される皆さまへ 検疫所HP,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,年末年始における海外での感染症予防について 厚労省HP,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,9歳,,,,～14歳,,,,～19歳,,,,～29歳,,～39歳,～49歳,～59歳,～69歳,70歳～ いて 況 う。 不明）
急性出血性結膜炎,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,2,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,他の感染症情,,,情報】,】 【,,,,,,,市内の感染,,,,,の状況】,,,】,,,,,,,,,,,,,,,,,,,,,,,,,,,
