
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,5,5,4,,6,8,24,12,13,77,1,,1,1,2,3,5,2,4,5,4,23,8,5,3,5,3,,2

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,1,,1,,,,,,,2,,,1,1,,,,,,,,,
咽頭結膜熱,1,2,4,,,2,1,,1,11,,1,3,1,4,,,1,1,,,,
Ａ群溶血性レンサ球菌咽頭炎,8,10,9,,4,2,3,3,15,54,,,1,3,3,9,3,5,6,3,5,14,
感染性胃腸炎,2,11,2,9,23,9,30,104,18,208,2,10,35,30,23,24,19,8,14,2,5,13,1
水痘,,,,2,1,1,,6,1,11,1,,2,1,1,1,3,,,,1,1,
手足口病,1,,,,,,,1,,2,,1,1,,,,,,,,,,
伝染性紅斑,,,2,1,2,1,,1,2,9,,,1,1,,,4,,2,1,,,
突発性発疹,2,,4,,1,2,3,2,4,18,,5,9,1,,,,,,,,3,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,1,,,,1,,,,,,,,,
流行性耳下腺炎,,1,1,,5,,,2,6,15,,,,1,2,2,4,2,1,1,,2,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,2,2,,,,,1,,,,,,,,,,1,,,
