
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,1,,2,,,2,3,1,,9,,3,3,,1,,,,,,1,,,1,
Ａ群溶血性レンサ球菌咽頭炎,7,3,4,,5,,5,2,10,36,,1,3,2,3,5,5,6,5,3,,3,,,
感染性胃腸炎,12,11,11,14,35,5,56,95,14,253,2,20,43,14,31,29,19,12,14,7,6,31,7,18,
水痘,,,,,,,1,,4,5,,,,,1,1,2,,,1,,,,,
手足口病,1,,,,,,,2,4,7,,,2,1,1,,1,1,,,,,,1,
伝染性紅斑,3,,,,5,,1,1,6,16,,1,2,2,2,3,2,1,2,,1,,,,
突発性発疹,,1,,,2,2,5,,6,16,1,6,7,2,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,8,,3,,5,2,2,16,6,42,1,6,15,9,2,2,2,2,,1,1,,,1,
流行性耳下腺炎,4,1,2,3,10,,3,6,9,38,,,,1,7,7,7,5,4,4,1,1,1,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,1
