,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成30年1月5日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 52週 平成29年12月25日 ～ 平成29年12月31日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,～29歳,～39歳,,～49歳,～59歳,,～69歳,～79歳 80歳～,
インフルエンザ,,,,,,57,25,35,,11,67,,19,23,77,95,409,,,1,4,9,11,,15,16,23,24,35,38,31,84,14,,19,18,,34,11,,11,9 2,
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,20歳～,,,五類感染症(全数把握疾患)の侵 襲性肺炎球菌感染症の報告数が増 加しています(H25年：23例、H26 年：28例、H27年：34例、H28年： 65例)。 H29年は、66例(暫定)の報告があ り、5歳未満が全体の18％(12 例)、60歳以上が62％(41例)を占 めています。 当疾患は、患者の咳やくしゃみ からの飛沫によって感染します。 通常は肺炎の病因物質となる肺炎 球菌が髄液又は血液などの無菌部 位に侵入する場合に「侵襲性」と 呼び、髄膜炎や菌血症などを引き 起こし、死亡や重篤な後遺症を残 すことがあります。 予防には、ワクチン接種が推奨 されています。特に定期接種の対 象者(高齢者および小児)は、接種 費用の助成がありますので、対象 者情報を確認し、できる限り定期 接種の期間内に接種しましょう。,,,,,
ＲＳウイルス感染症,,,,,,,,,,,2,,1,1,4,7,15,,,,3,3,5,,3,1,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,4,,,,2,,,1,1,1,1,10,,,1,,2,1,,2,2,1,1,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,9,2,1,,,7,,,1,4,15,39,,,,,,1,,4,5,7,9,4,2,2,4,1,,,,,,,,,,
感染性胃腸炎,,,,,,38,7,9,,1,35,,16,42,62,24,234,,,2,12,34,37,,23,17,11,16,12,9,7,19,7,,28,,,,,,,,
水痘,,,,,,,,,,,1,,,,2,,3,,,,,,,,,,1,,,1,,1,,,,,,,,,,,
手足口病,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,,1,,,2,,,,1,1,5,,,,1,3,1,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,1,1,,,,2,4,8,,,,,1,,,1,1,1,,1,,3,,,,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,～29歳,～39歳,,～49歳,～59歳,,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,1,,,,,,,1,,1,,3,,,,,,1,,,,,,,,,,,,1,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,他の感染症情,,,情報】,】 【,,,,,【市,市内の感染症の状況】,,,,,】,,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○アデノウイルス感染症3例：1歳 男女、8歳 男 ○ノロウイルス感染症4例：2歳 男、3歳 女、5歳 男、6歳 女 ○ロタウイルス感染症1例：8歳 男 北 区○マイコプラズマ感染症1例：10歳 女 ○ノロウイルス感染症2例：1歳 女、2歳 女 垂水区○アデノウイルス感染症1例：33歳 女,,,,,,,,,,,,,,,,ージから,○インフルエンザ 流行期 季節性インフルエンザ流行状況 今週のインフルエンザ患者の報告は、定点あたり8.5人です（先週4.5人）。 先週と比較して多くの報告がありましたが、注意報水準（定点あたりの患者数が10人） には達していません。 また、全国的に例年の同時期と比較して、B型の検出率が高く、,,,,,,,,,,,,,,,,,,,,,,,,,,
○ノロウイルス感染症3例：1歳 女、2歳 男、9歳 女,,,,,,,,,,,,,,,,,東灘区・灘区・中央区では、B型の検出率がA型の検出率を上回っています。 （インフルエンザ定点医療機関から報告された迅速キット陽性情報）,,,,,,,,,,,,,,,,,,,,A 型,,,B 型,,,
○細,,,細菌性腸,,腸炎（病,病原性大腸菌,,,菌O18）1例：年齢性別,,,,別不明,明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,151,,,
〔お知らせ〕 バックナンバーは神戸市のホームページから,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,らご覧いただけます。,,,,,,,,,,,,,,,,,,,,,,,,,,
