
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,～79歳
インフルエンザ,,9,8,15,11,14,8,20,44,56,185,,1,8,10,,5,,14,,,9,,13,,11,10,7,30,,4,7,,,16,17,,7,8,,6

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,20歳～,,,
ＲＳウイルス感染症,,2,,,,1,,,1,2,6,1,,4,1,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,1,2,,3,,,,1,,,,1,,,1,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,2,5,,,5,3,6,5,11,37,,,1,2,,3,,4,,,3,,5,,2,4,1,9,,1,2,,,
感染性胃腸炎,,8,5,,6,21,13,19,58,22,152,,9,20,20,,15,,15,,,16,,10,,10,5,3,13,,6,10,,,
水痘,,3,,6,,1,,,3,,13,,,4,3,,1,,,,,1,,,,1,2,,1,,,,,,
手足口病,,,2,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,
伝染性紅斑,,2,,1,,,,,,,3,,,,,,,,2,,,,,,,,1,,,,,,,,
突発性発疹,,1,,1,,1,,,2,2,7,,1,5,1,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,9,1,1,,7,4,,1,9,32,,,,1,,4,,6,,,5,,6,,4,3,,2,,,1,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
