
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,,2歳,,,3歳,,4歳,5歳,6歳,,7歳,8歳,9歳,,,～14歳,～19歳,,～29歳,,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,3,,,,,,,,,,2,1,6,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,,1,1,

疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,,2歳,,,3歳,,4歳,5歳,6歳,,7歳,8歳,9歳,,,～14歳,～19歳,,20歳～,,
ＲＳウイルス感染症,,,,,,,16,,6,,,1,11,,,7,11,19,71,,,,,8,,16,,22,,7,,,7,,9,2,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,1,,3,2,,,6,,,,,,,,,2,,,,,1,,1,2,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,1,1,1,,,,3,,2,3,4,11,26,,,,,,,,,,,1,,,5,,3,4,2,,6,1,,,,1,1,,2,,
感染性胃腸炎,,,,,,,2,,3,,,4,18,,6,24,42,14,113,,,,,3,,6,,20,,7,,,13,,14,7,6,,4,2,3,,,12,4,,12,,
水痘,,,,,,,1,,,,,,1,,,1,6,,9,,,,,,,,,2,,,,,1,,,3,2,,1,,,,,,,,,,
手足口病,,,,,,,7,,1,,,,1,,1,2,10,3,25,,,,,,,2,,5,,6,,,3,,1,1,1,,2,1,,,,3,,,,,
伝染性紅斑,,,,,,,1,,,,,,1,,,,,1,3,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,
突発性発疹,,,,,,,1,,1,,,,1,,2,1,3,4,13,,,,,1,,6,,6,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,2,,2,,,,2,,3,2,11,2,24,,,,,1,,4,,8,,1,,,3,,2,1,,,2,2,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,3,,1,2,6,3,15,,,,,,,,,,,2,,,2,,1,3,1,,1,3,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,,2歳,,,3歳,,4歳,5歳,6歳,,7歳,8歳,9歳,,,～14歳,～19歳,,～29歳,,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,,他の感染症情,,,,情報】,】 【,,,,,【市,,市内の感染,,,染症の状況】,,,,,,】,,,,,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北 区○アデノウイルス感染症1例：2歳 男 ○細菌性腸炎（病原性大腸菌O25）1例：1歳 女 垂水区○細菌性腸炎（カンピロバクター）2例：年齢性別不明,,,,,,,,,,,,,,,,,,,○RSウイルス RSウイルス患者の報告が、定点あたり2.3人となり、先週より増加しています（先週1.7人）。 患者数は、過去10年同時期と比較してかなり多い報告数で推移しています。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,【行政検査情報】※行政検査：公衆衛生上、問題となる病原体について市が行う検査 ○日本紅斑熱・SFTS・つつが虫病（四類感染症）疑い 検査結果：日本紅斑熱 陽性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【 ロ 細 無,【基幹定点（市 ロタウイルス胃 細菌性髄膜炎1 無菌性髄膜炎2,,,,,,,,,,】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,市内 3ヶ所）からの報告】 胃腸炎1例：4歳 男 1例：63歳 男 2例：11歳 男、13歳女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SFTSおよびつつが虫病 陰性 ・42歳 男性 ・神戸市の山林で建設作業していた ・作業期間中に右足のくるぶしに虫の刺し口があることに気づいた ・症状：発熱、頭痛、発疹、肝機能異常、血小板減少,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「ILI情報センター」ホームページを開設しています。詳細はこちらをクリック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
