
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,4,1,,,,1,1,6,,13,,2,8,1,2,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,10,5,6,,4,1,8,7,13,54,,,2,1,3,10,8,3,4,4,4,11,,4,
感染性胃腸炎,19,5,13,12,31,12,62,102,22,278,3,18,61,29,32,29,25,9,10,10,4,20,4,24,
水痘,,2,2,2,3,,6,3,2,20,,3,1,2,2,2,4,4,,,,1,,1,
手足口病,2,,,,,,1,4,1,8,,,3,1,1,2,1,,,,,,,,
伝染性紅斑,1,,,,3,1,3,2,1,11,,,,1,,3,3,2,,2,,,,,
突発性発疹,2,2,1,1,1,1,,4,3,15,,6,6,1,1,1,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,1,,2,,2,1,2,3,4,15,,1,2,2,5,,,,1,,2,2,,,
流行性耳下腺炎,3,,2,5,10,,,2,4,26,,,1,1,3,4,8,3,1,1,2,2,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,1,,,1,,,,1,,3,,,,,,,,,,,,,,1,,,,1
