
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,,～59歳,～69歳,～79歳
インフルエンザ,,233,113,120,86,206,150,218,,314,301,,"1,741",2,,13,42,57,,,56,89,106,98,,89,99,,104,,419,108,64,90,132,,70,57,37

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,1,,,,,,,,1,,,2,,,1,,,,,,,,,,,,,,,1,,,
咽頭結膜熱,,1,1,1,,2,,3,,1,4,,13,,,,5,1,,,3,2,,1,,,1,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,1,2,1,1,8,1,5,,2,11,,32,,,,,1,,,3,4,2,4,,5,5,,3,,3,,2,
感染性胃腸炎,,2,5,6,4,19,10,10,,63,17,,136,2,,2,2,16,,,11,11,18,6,,7,7,,4,,19,5,26,
水痘,,2,,,,1,,,,2,1,,6,,,,,,,,1,2,,,,1,,,,,2,,,
手足口病,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,
伝染性紅斑,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
突発性発疹,,1,,,,2,2,1,,2,4,,12,,,5,7,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,5,,1,,8,4,1,,1,3,,23,,,,1,,,,2,4,3,3,,1,4,,,,4,,1,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,1,,1,,1,,,,,1,,4,,,,,,,,,,,,,,,,,,,,1,1,2,,,
