
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,15,10,5,1,73,9,13,,78,68,,272,,,1,6,6,,,10,7,12,10,16,,12,21,,75,24,10,18,22,6,9,4

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳
ＲＳウイルス感染症,,4,,2,,4,,,,,8,,18,3,,,8,4,,,2,1,,,,,,,,,
咽頭結膜熱,,2,4,,,1,1,5,,1,,,14,,,,3,5,,,1,,3,,,,1,1,,,
Ａ群溶血性レンサ球菌咽頭炎,,3,5,1,,23,2,5,,3,17,,59,,,,,,,,4,5,2,10,3,,4,6,,19,
感染性胃腸炎,,83,56,26,13,106,24,105,,160,109,,682,5,,13,55,42,,,53,72,102,49,50,,33,31,,70,16
水痘,,,2,1,1,13,3,6,,11,1,,38,1,,3,2,2,,,3,9,2,4,2,,5,3,,2,
手足口病,,,,1,1,,1,1,,3,1,,8,,,,1,1,,,1,2,1,,,,1,,,,
伝染性紅斑,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,
突発性発疹,,3,,3,,,1,4,,2,3,,16,,,8,7,1,,,,,,,,,,,,,
百日咳,,,,,1,,,,,1,,,2,,,,,,,,,,,,1,,,,,1,
ヘルパンギーナ,,,1,1,,1,,,,1,1,,5,,,,1,1,,,,,1,1,,,1,,,,
流行性耳下腺炎,,13,3,1,1,11,2,7,,5,9,,52,,,,,2,,,1,8,7,12,8,,5,2,,7,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,1,,,,,1,1,,3,,,,,,,,,,,,,,,,,1,,,2,,,
