"神戸市感染症発生動向調査週報 平成29年3月8日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第9週 2017年 2月 27日 ～ 2017年 3月 5日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,42,13,33,17,59,15,52,,121,63,,415,1,3,15,16,,24,25,17,19,16,,16,24,,75,12,22,39,30,18,19,16,8
"報告定点数 31 ヶ所 　（内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,,　水痘（みずぼうそう）の入院例 の報告がありました。水痘は感染 力が強く5歳までに約80％の小児 が罹るといわれています。患者の 水疱等との直接接触、飛沫感染、 あるいは空気感染で広がり、感染 してから約2週間後、かゆみを伴 う発疹が次々とでき、紅斑→水疱 （水ぶくれ）→膿疱→痂皮（かさ ぶた）のそれぞれの段階の発疹が 混在するのが特徴です。すべての 発疹が痂皮になるまで6日程度か かります。成人が罹患すると重症 になりやすく、肺炎、脳炎など合 併症の頻度が高くなります。予防 には水痘ワクチンの接種が有効で す（2016年9月から定期接種化さ れています）。 （医師の方へ）「24時間以上入院 した水痘患者」についてはすべて の医師が報告する五類全数届出対 象です。診断した医師は届出をお 願いします。,,,,
ＲＳウイルス感染症,,1,,,,,,2,,,,,3,,1,,2,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,1,2,,,4,1,,8,,1,2,5,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,6,5,,3,,4,,3,24,,45,,,1,3,,3,8,6,4,5,,4,6,,4,1,,,,,,,
感染性胃腸炎,,11,6,14,6,27,15,11,,62,14,,166,2,6,22,11,,14,16,19,11,5,,4,2,,30,6,18,,,,,,
水痘,,,,,1,,,,,,1,,2,,,,,,,,1,,,,,,,,1,,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,1,,,,1,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,
突発性発疹,,4,1,1,,1,,2,,1,4,,14,,7,5,2,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,4,3,,1,4,5,2,,5,11,,35,,,,1,,2,3,7,7,8,,1,1,,4,,1,,,,,,
"　 報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
