,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年9月28日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 38週 平成29年9月18日 ～ 平成29年9月24日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,,,,,,2,,,,,,,,,,,1,3,,,,,1,,,,,,1,,,1,,,,,,,,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,今週、梅毒の報告が2例ありまし た。今年47例目の報告で、昨年の 同時期より増加しています。年代 別では20代が47例中19例と一番多 くなっています（20代の報告数 H28:16例、H27:10例）。 また、妊娠中に感染が判明した 例も報告されています。妊婦が感 染すると、胎盤を通して胎児に感 染し、死産、新生児死亡、奇形な ど（先天梅毒）を引き起こすこと があり、毎年、全国で10例を超え る報告があります。 梅毒は性感染症です。早期の薬 物治療で完治しますが、治療せず に長期間放置すると、脳や心臓に 重大な合併症を起こすことがあり ます。また、完治しても、再感染 することがありますので、予防が 大切です。,,,,
ＲＳウイルス感染症,,,,,,,5,,2,,,,8,,1,6,7,9,38,,,6,5,14,7,,5,1,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,1,,,,,,,,1,1,1,,4,,,,,,,,,1,1,1,,1,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,4,4,3,,,,,,1,1,3,1,17,,,,,,3,,1,2,1,3,3,1,,3,,,,,,,,
感染性胃腸炎,,,,,,,5,4,3,,,,13,,9,14,31,8,87,,,1,9,17,15,,6,9,1,5,,5,5,6,1,7,,,,,,
水痘,,,,,,,,,,,,,,,,1,3,1,5,,,,,,,,,,3,,1,,1,,,,,,,,,
手足口病,,,,,,,1,,,,,,1,,1,5,6,1,15,,,1,3,2,3,,1,1,3,,,,,1,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
突発性発疹,,,,,,,1,,,,,,,,3,1,1,3,9,,,,3,3,1,,2,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,1,,1,,,,1,,,2,5,1,11,,,,3,2,1,,,1,1,,,1,1,1,,,,,,,,
流行性耳下腺炎,,,,,,,1,,,,,,2,,,2,2,3,10,,,,,,,,1,,4,1,1,1,,2,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅毒｜神戸市,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【定点機関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灘 区○マイコプラズマ肺炎1例：8歳 男 中央区○細菌性腸炎（カンピロバクター）1例：1歳 男 西 区○ロタウイルス感染症1例：年齢性別不明,,,,,,,,,,,,,,,,,,,○インフルエンザ 9月25日、市内の小学校から今シーズン最初の学級閉鎖の報告がありました。 まだ、流行期では、ありませんが、今後の動向に注意しましょう。 ○RSウイルス RSウイルス患者の報告が、定点あたり1.2人となり、先週より減少しています（先週2.3人）。 患者数は、過去10年同時期と比較して、多い数で推移しています。 ○腸管出血性大腸菌感染症 市内では、8月から9月下旬までに計19件の腸管出血性大腸菌感染症の発生届がありました。 報告数は、例年並みですが、9月に入ってから、腸管出血性大腸菌O157のなかでも ベロ毒素のVT2型が多いです（9件中5件）。 なお、ここ1週間、患者発生の報告はありません。,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【 マ,【基幹定点（市 マイコプラズマ肺,,,,,,,,,,】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,市内 3ヶ所）からの報告】 肺炎1例：4歳 男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「ILI情報センター」ホームページを開設しています。詳細はこちらをクリック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
