【定点医療機関のみなさまへのお願い】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"いつもご協力いただきありがとうございます。今年の最終週（第52週）の報告について、年末年始の休診前に必ずご報告いただくよう、 お願い申し上げます。 平成29年12月26日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 51週 平成29年12月18日 ～ 平成29年12月24日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,9歳,,,～14歳,～19歳,,,～29歳,,～39歳,～49歳,,～59歳,,～69歳,～79歳 80歳～,
インフルエンザ,,,,,,26,18,13,,4,26,,9,19,46,56,217,,,,,,,,,6,11,,,5,11,13,9,,10,24,17,,,34,8,,,9,,11,22,,12,,9,4 2,
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,先週に引き続き、定点医療機関 から、百日咳の報告があり、家族 内感染の情報がありました。 百日咳は百日咳菌によって引き 起こされる急性呼吸器疾患です。 長引く咳が特徴で、小児の場合は スタッカートと呼ばれる特徴的な 咳が見られることがあります。一 方、成人の場合は特徴的な咳がみ られることが少なく、長引く咳の なかに百日咳が隠れていることが あります。そのため、気づかぬう ちに周囲に感染を広げてしまうこ とがあり、特に乳児に感染すると 脳症による重度の障害を引き起こ したり、死亡することがありま す。咳が長引く場合は、早めに医 療機関を受診しましょう。,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,,,～6ヶ月,,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,9歳,,,～14歳,～19歳,,,20歳～,,,,,,,,,
ＲＳウイルス感染症,,,,,,2,,,,,3,,1,7,3,9,25,,,,,3,,3,,10,5,,,3,,1,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,4,,,,,,,,1,3,1,9,,,,,,,1,,3,3,,,2,,,,,,,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,12,3,,,,5,,,3,7,10,40,,,,,,,2,,,1,,,4,5,6,3,,5,6,1,,,5,,,,2,,,,,,,,,
感染性胃腸炎,,,,,,29,12,15,,6,34,,9,30,76,17,228,,,,,6,,11,,47,28,,,25,13,16,9,,10,4,7,,,24,6,,,22,,,,,,,,,
水痘,,,,,,2,1,1,,,,,1,1,1,1,8,,,,,,,,,,,,,1,2,3,,,1,,,,,1,,,,,,,,,,,,,
