
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,255,117,98,75,270,105,182,329,350,"1,781",3,18,54,65,80,113,124,116,120,140,102,362,59,55,97,123,71,52,16

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,1,,,,,,,3,1,5,,2,1,,,,,,,,,2,,,
咽頭結膜熱,3,,,,,,,4,1,8,,,,1,4,2,,,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,7,5,7,,3,1,1,11,28,63,,,,3,4,8,10,6,3,11,4,8,1,5,
感染性胃腸炎,15,5,9,12,26,9,22,49,17,164,4,7,20,13,14,19,8,10,10,11,12,17,4,15,
水痘,,,,,1,1,3,1,1,7,,,1,1,,1,2,,,1,,1,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,1,,,,5,,2,1,,9,,,3,1,,,1,1,,1,1,1,,,
突発性発疹,,,,,,,2,3,2,7,,1,5,1,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,1,,3,,2,,2,8,,,,,1,1,2,,4,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,
