
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,14,6,8,3,18,10,11,19,19,108,,4,1,8,8,5,5,5,6,3,6,17,3,7,5,12,6,6,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,1,,,,,1,,2,,,,1,1,,,,,,,,,,
咽頭結膜熱,,,1,,,,,2,2,5,,,1,1,,1,,1,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,4,4,4,1,3,2,3,6,7,34,,,,1,2,5,5,4,4,3,2,4,3,1,
感染性胃腸炎,6,7,9,10,13,10,32,64,14,165,2,15,24,23,16,16,14,9,7,6,7,8,4,14,
水痘,2,,2,,4,1,2,1,1,13,,2,,1,3,2,,4,1,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,1,,,,2,3,,,6,,,1,1,2,,1,1,,,,,,,
突発性発疹,1,1,,1,1,,4,2,1,11,1,1,7,2,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,1,,,,1,,,,,,,,,,,
流行性耳下腺炎,1,,,,3,,2,3,1,10,,,1,,,4,3,,1,,1,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
