
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,213,127,87,49,299,88,226,329,395,"1,813",2,19,45,70,75,114,112,117,124,133,127,390,77,36,99,114,55,62,22

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,,,,,,1,,1,,,1,,,,,,,,,,
咽頭結膜熱,3,1,,,,,,,,4,,,,2,1,1,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,6,7,2,1,1,1,4,17,23,62,,,,5,3,11,11,8,5,3,7,8,
感染性胃腸炎,7,3,9,7,31,3,32,76,15,183,1,10,25,12,10,11,19,12,10,7,10,26,15
水痘,,,,2,1,1,,1,4,9,,,2,2,1,,1,2,,1,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,1,,,5,,3,1,6,16,,,,3,1,4,3,3,2,,,,
突発性発疹,1,,1,,1,1,,4,,8,,3,5,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,8,,,1,1,10,,,,,1,3,2,3,,1,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,
