,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"平成29年10月17日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第 41週 平成29年10月9日 ～ 平成29年10月15日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,,,,,,1,,,,1,,,2,1,,2,7,,,,,,1,,,,,,,,,,,2 1,1,1,,,1,,
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳,20歳～,,秋雨前線の影響で、先週末から 雨が続き、気温が急降下しまし た。気温や湿度が下がると、イン フルエンザや感染性胃腸炎のよう な、冬場に流行する感染症が出て きます。 感染症予防には、「手洗い」で 感染経路を断つことが重要です。 手洗い前にウイルス約100万個が 手についていた場合、流水15秒で 約1万個となり、石けん60秒もみ 洗い・流水15秒すすぎで数十個ま で減少します。日々の手洗いの時 間は30秒・そして洗い流し15秒が 目安です。泡立てた石けんでもみ 洗いを行い、流水でしっかりと洗 い流しましょう。特に、指先・指 の間・手のしわは、洗い残しが多 いです。また、親指・手首も忘れ ずに洗いましょう。 施設では、タオルの共用を避け ることも必要です。,,,,
ＲＳウイルス感染症,,,,,,5,,1,,,5,,,3,6,,8,28,,,,5,3,8,4,,6,,2,,,,,,,,,,,,,
咽頭結膜熱,,,,,,1,,,,,1,,,1,1,,2,6,,,,,,1,2,,1,,2,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,5,7,,,,1,,,7,1,,6,27,,,,,,1,,,2,,5,5,3,3,1,,3 2,2,,,,,,
感染性胃腸炎,,,,,,2,4,6,,1,12,,6,19,32,,5,87,,,,1,3,17,12,,13,,7,4,4,4,1,1,10 5,5,,,,,,
水痘,,,,,,,,,,,3,,,,4,,2,9,,,,,1,2,,,1,,3,,2,,,,,,,,,,,
手足口病,,,,,,,,,,,,,3,,,,3,6,,,,,,2,2,,1,,,,,,1,,,,,,,,,
