
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,4,,,,,,,,,4,1,,3,,,,,,,,,,
咽頭結膜熱,5,,1,,,,6,1,,13,,,2,3,1,,5,2,,,,,
Ａ群溶血性レンサ球菌咽頭炎,5,,1,,1,2,1,2,3,15,,,,2,1,2,,1,3,3,,3,
感染性胃腸炎,14,1,13,6,14,8,24,52,23,155,5,22,26,13,15,11,9,7,5,5,7,14,5
水痘,,,,,4,1,,1,3,9,,,,,1,,2,,,,2,1,1
手足口病,1,,,,,,1,2,1,5,,,3,,1,,,,1,,,,
伝染性紅斑,2,,,,,,,,,2,,,,,,1,,,,1,,,
突発性発疹,5,1,,,1,1,,1,2,11,,3,6,2,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,2,1,,1,1,,,5,4,14,,1,6,4,,,,1,1,,,1,
流行性耳下腺炎,16,2,4,2,14,7,10,3,7,65,,,1,5,12,9,11,14,6,3,2,2,

,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,1,,,2,3,,,,,,,1,,,,1,,,1,,,,
