"神戸市感染症発生動向調査週報 平成29年2月8日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第5週 2017年 1月 30日 ～ 2017年 2月 5日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,233,113,120,86,206,150,218,,314,301,,"1,741",2,,13,42,57,,,56,89,106,98,,89,99,,104,,419,108,64,90,132,,70,57,37,9
"報告定点数 31 ヶ所 　（内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,20歳～,,インフルエンザの定点あたり患者 数は36.3人となり、先週に引き続 き警報レベルを超えた状況が続い ています（先週は34.0人）。 インフルエンザに感染すると、 「インフルエンザ脳症」という 重度の合併症を発症することがあ ります。主に0～5歳の乳幼児に多 くみられ、国内で毎年100人～数 百人の報告があります。インフル エンザによる発熱後数時間から1 日以内に神経症状（けいれん・異 常行動・意識障害等）が認めら れ、意識障害は強く症状は急速に 進行します。死亡や後遺症を残す こともある重篤な疾患のため、イ ンフルエンザが流行のピークを迎 えるこの時期は、インフルエンザ に罹患しないよう一層の感染予防 が必要です。 急性脳炎は5類全数報告疾患のた め、患者を診察した医師は届出を してください。,,,,,
ＲＳウイルス感染症,,1,,,,,,,,1,,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
咽頭結膜熱,,1,1,1,,2,,3,,1,4,,13,,,,5,1,,,3,2,,1,,,1,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,1,2,1,1,8,1,5,,2,11,,32,,,,,1,,,3,4,2,4,,5,5,,3,,3,,2,,,,,,,
感染性胃腸炎,,2,5,6,4,19,10,10,,63,17,,136,2,,2,2,16,,,11,11,18,6,,7,7,,4,,19,5,26,,,,,,,
水痘,,2,,,,1,,,,2,1,,6,,,,,,,,1,2,,,,1,,,,,2,,,,,,,,,
手足口病,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
突発性発疹,,1,,,,2,2,1,,2,4,,12,,,5,7,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,5,,1,,8,4,1,,1,3,,23,,,,1,,,,2,4,3,3,,1,4,,,,4,,1,,,,,,,
"　 報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,8歳,,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,,～59歳,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,1,,1,,1,,,,,1,,4,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
