
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,,計,～6ヶ月,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,,,8歳,9歳,～14歳,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,～79歳
インフルエンザ,,,2,4,9,2,3,,10,17,6,,53,,,,1,1,,,,3,3,5,,1,,,2,3,8,4,4,,,4,5,,2,6,,1

疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,,計,～6ヶ月,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,,,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,1,,2,,,,1,,,,4,2,,,2,,,,,,,,,,,,,,,
咽頭結膜熱,,,,1,,,,3,2,7,,,13,,4,,5,2,,,1,,1,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,6,4,5,,5,1,11,10,12,,54,,,,5,4,,,5,5,7,5,,6,,,2,6,4,2
感染性胃腸炎,,,16,7,6,6,27,15,41,97,30,,245,1,15,,43,17,,,24,27,20,15,,10,,,11,11,21,5
水痘,,,5,,1,,3,3,4,,,,16,,1,,1,3,,,,1,5,1,,1,,,1,1,1,
手足口病,,,3,1,2,,,2,,7,2,,17,,2,,4,6,,,2,1,1,1,,,,,,,,
伝染性紅斑,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,
突発性発疹,,,,1,1,,2,1,5,3,3,,16,,5,,10,1,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,1,,,2,2,,,5,,,,3,2,,,,,,,,,,,,,,
流行性耳下腺炎,,,1,,,2,4,2,1,3,2,,15,,,,,1,,,1,2,3,,,5,,,1,1,1,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,,計,～6ヶ月,～12ヶ月,,1歳,2歳,,,3歳,4歳,5歳,6歳,,7歳,,,8歳,9歳,～14歳,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,
急性出血性結膜炎,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
流行性角結膜炎,,,,,1,,,,2,1,,,4,,,,,,,,1,,,,,,,,,,,,,,,2,1,,,,
