,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年5月9日 作成 神戸市感染症情報センター 報告定点数 47 ヶ所 第 17週 平成29年4月24日 ～ 平成29年4月30日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,～6ヶ月,～12ヶ月,,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,,～59歳,～69歳,,～79歳,80歳～
インフルエンザ,,,,,,13,5,23,,1,5,,7,5,19,,10,88,,1,,5,2,3,11,9,5,7,3,4,13,4,3,4,,8,,2,3,,1,
報告定点数 30 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,～6ヶ月,～12ヶ月,,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,,　今週、市内でオウム病患者の発,,,,,,
ＲＳウイルス感染症,,,,,,1,,,,,,,,1,,,5,7,2,1,,1,,3,,,,,,,,,,,,生が届出されました。 　オウム病は、原因菌であるオウ ム病クラミジア（Chlamydophila psittaci）を吸入することで発症 します。主に、鳥類（インコ、オ ウム、ハト等）の糞に含まれる菌 を吸い込んだり、口移しでエサを 与えることによって感染し、感染 後1～2週間の潜伏期間を経て、突 然の高熱、悪寒、頭痛、全身倦怠 感などインフルエンザ様の症状が 現れます。重症化による死亡例も あり、今年3月には、国内で重症 化による妊婦の死亡例が報告され ました。 　また、市内では、過去に鳥類の 展示施設で集団感染がありまし た。 　公園などでは、鳥類をむやみに 触らないようにし、鳥類に触った 後は、必ず、手洗い、うがいをし ましょう。,,,,,,
咽頭結膜熱,,,,,,2,,,,,,,,1,5,,2,10,,,,4,1,3,1,1,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,7,5,1,,,7,,3,3,2,,22,50,,,,2,4,9,7,5,4,4,3,3,9,,,,,,,,,,,
感染性胃腸炎,,,,,,16,7,8,,9,22,,10,39,82,,25,218,4,13,,43,25,23,30,13,15,9,2,5,13,5,18,,,,,,,,,
水痘,,,,,,,,,,,2,,1,1,2,,1,7,2,,,,2,,,,,1,1,1,,,,,,,,,,,,
手足口病,,,,,,2,,,,,,,,,8,,3,13,,1,,2,6,1,1,2,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
突発性発疹,,,,,,3,1,2,,1,1,,,2,,,4,14,,3,,11,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,3,1,1,,1,3,,2,,2,,3,16,,,,,,1,1,2,2,1,4,1,1,,3,,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,～6ヶ月,～12ヶ月,,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,,～49歳,,～59歳,～69歳,,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症5例：0～3歳　男女 　　　　 ○ロタウイルス感染症1例：6歳　女,,,,,,,,,,,,,,,＜担当者からのお知らせ＞ 【結核に関する情報】　　今週の結核届出患者数は7人（うち潜在性結核感染症1人）です。,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区○ヒトメタニューモウイルス感染症1例：1歳　女 　　　　 ○カンピロバクター1例：13歳　女 北 区○アデノウイルス感染症3例：1～6歳　男 　　 　○ロタウイルス感染症1例：2歳　男 　　 　○サルモネラ1例：6歳　男 垂水区○ロタウイルス感染症1例：2歳　男,,,,,,,,,,,,,,,,ゴールデンウィークによる 休日のため、第17、18週報 は、同時に発行しています。,,,,,【市内の感染症の状況】 ・ インフルエンザの定点あたり患者数は 1.9人（先週 1.7人）とほぼ横ばいです。 ・インフルエンザ定点機関から報告された迅速キット陽性情報で、B型インフルエンザ 陽性患者がA型インフルエンザ陽性患者を上回っています。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけ 　神戸市　発生動向　〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基幹定点（市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,市内 3ヶ所）からの報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,けます。,,,,,,,
・インフルエンザによる入院患者：１人（0歳9ヶ月） ・細菌性髄膜炎2例：44歳、65歳　女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　神戸市　発生動向　〔検索〕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
