
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,,1,,,,,,,1,,1,,,,,,,,,,,
咽頭結膜熱,3,1,,,,,,5,,9,,,3,1,,,1,,,,1,3,
Ａ群溶血性レンサ球菌咽頭炎,2,,,,,5,2,1,5,15,,,1,1,2,,4,,1,1,,2,
感染性胃腸炎,3,3,4,7,20,5,8,31,14,95,3,13,21,6,4,6,5,3,5,5,3,14,
水痘,,,1,,4,,,1,2,8,,,2,,,2,2,1,,1,,,
手足口病,3,,,,,,,1,1,5,,1,1,2,,,,,,,1,,
伝染性紅斑,,,,,1,,,,,1,,,,,,,,1,,,,,
突発性発疹,,,,2,2,1,2,1,4,12,,3,8,1,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,2,,1,3,,1,1,8,2,18,,1,4,4,3,2,2,,,1,,1,
流行性耳下腺炎,7,1,4,2,17,6,10,8,4,59,,,,1,6,9,15,14,6,3,1,3,

,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,1,,,,,,,,1,2,,,,,,,,,,,,1,,,,,1,
