
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,4,,1,1,,,2,1,5,14,1,4,7,2,,,,,,,,,
咽頭結膜熱,,6,,,,2,4,,,12,,3,,2,1,2,1,1,1,,,,
Ａ群溶血性レンサ球菌咽頭炎,6,4,1,1,,,,2,6,20,,,,,2,3,5,5,,,4,,1
感染性胃腸炎,,6,7,9,28,4,26,49,8,137,2,11,26,20,11,9,8,3,3,7,7,9,7
水痘,1,,,1,2,1,,,,5,,,1,,1,2,,,,,,,1
手足口病,2,,,,,,1,7,1,11,,1,5,4,,,,,,,1,,
伝染性紅斑,,,,,,2,,,,2,,,,,2,,,,,,,,
突発性発疹,2,,1,,1,1,3,3,,11,1,3,4,1,2,,,,,,,,
百日咳,,,,,1,,,,,1,,,,,,,,,,,,,1
ヘルパンギーナ,5,1,3,,,,1,3,,13,,1,3,4,,1,1,,,1,2,,
流行性耳下腺炎,12,2,3,6,6,11,11,4,9,64,,,2,4,11,14,7,4,3,4,6,9,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,1,2,,1,,1,,,,,,,,,,,,,,
