
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,1,,,,1,,,2,1,,2,7,,,,,,1,,,,,,,,,,,2 1,1,1,,,1,

疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳
ＲＳウイルス感染症,,,,,,5,,1,,,5,,,3,6,,8,28,,,,5,3,8,4,,6,,2,,,,,,
咽頭結膜熱,,,,,,1,,,,,1,,,1,1,,2,6,,,,,,1,2,,1,,2,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,5,7,,,,1,,,7,1,,6,27,,,,,,1,,,2,,5,5,3,3,1,,3 2
感染性胃腸炎,,,,,,2,4,6,,1,12,,6,19,32,,5,87,,,,1,3,17,12,,13,,7,4,4,4,1,1,10 5
水痘,,,,,,,,,,,3,,,,4,,2,9,,,,,1,2,,,1,,3,,2,,,,
手足口病,,,,,,,,,,,,,3,,,,3,6,,,,,,2,2,,1,,,,,,1,,
伝染性紅斑,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,
突発性発疹,,,,,,,1,2,,,,,,,,,1,4,,,,,1,2,,,1,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,5,3,,,,,,,,,,,8,,,,,1,,1,,1,,,,1,3,1,,
流行性耳下腺炎,,,,,,1,,,,,,,,,1,,2,4,,,,,,,,,1,,,,2,,1,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,,西,計,,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,5歳,6歳,7歳,8歳,9歳,～14歳 ～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,1,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,○RSウイルス 例年に比べて早期（8月下旬）にピークを示したRSウイルス患者の報告が、定点あたり1.0人に減少しました。 しかし、10月に入ってからの神戸モデル（※）の連絡票では、未就学児施設での当疾患の複数名からの 発生や重症化による入院例が報告されているため、今後の動向に注意が必要です。 手洗い、うがいを励行し、予防や感染拡大防止に努めましょう。 ※ 神戸モデル（感染症早期探知・地域連携システム）：地域・学校園・施設・医療機関等と保健所・区との,,,,,,,,,,,,,,,,,,,,,,
