
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,270,131,97,79,190,132,198,,232,301,,"1,630",5,,13,46,57,,,49,80,78,95,81,,82,91,,375,120,61,105,107,78,60,34

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳
ＲＳウイルス感染症,,1,,,,,,3,,,1,,5,,,,4,1,,,,,,,,,,,,,
咽頭結膜熱,,4,,1,,,1,,,4,2,,12,,,,1,1,,,2,1,3,2,1,,,,,1,
Ａ群溶血性レンサ球菌咽頭炎,,,4,1,,6,1,3,,4,16,,35,,,,2,1,,,3,5,6,3,2,,5,2,,5,
感染性胃腸炎,,5,10,16,5,23,14,22,,60,26,,181,5,,4,19,19,,,10,12,16,12,9,,11,9,,19,10
水痘,,2,,1,,,,2,,1,3,,9,,,3,,1,,,1,1,,2,1,,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1
突発性発疹,,2,,,,2,,,,3,3,,10,2,,4,3,1,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,
流行性耳下腺炎,,6,1,5,,9,4,4,,3,3,,35,,,1,1,2,,,4,5,6,5,2,,1,,,5,1

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
