
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,,8歳,9歳,,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,30,13,11,11,58,24,35,,72,74,,328,1,1,8,11,,10,,14,,,10,,10,,20,,20,18,,80,,26,15,,21,31,9,9,11

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,,8歳,9歳,,～14歳,,～19歳,20歳～,,
ＲＳウイルス感染症,,1,,,,2,,,,2,6,,11,3,2,5,,,,,,,,1,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,3,,3,1,,7,,,1,3,,1,,1,,,,,,,,,,1,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,3,1,,,3,1,2,,1,14,,25,,,,,,1,,1,,,3,,8,,2,,1,5,,2,,1,1,,
感染性胃腸炎,,17,8,7,6,56,12,28,,82,53,,269,4,10,25,25,,25,,16,,,16,,17,,27,,8,16,,27,,5,48,,
水痘,,1,,3,,8,4,2,,5,5,,28,,2,3,1,,1,,5,,,5,,4,,1,,1,1,,4,,,,,
手足口病,,1,1,1,,,1,,,,1,,5,,,3,,,2,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,2,,,,,1,1,,1,3,,8,,2,4,2,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,3,,,3,,,2,,,1,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,3,5,1,,4,,9,,4,5,,31,,,,4,,4,,2,,,6,,3,,2,,3,3,,4,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,,8歳,9歳,,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,2,,,,,,,,1,1,,4,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,1,
